Threshold,Counts,Parameterspace Fraction,Mean PCE,Fill Fraction
9.0,1794684.0,0.560839,9.924581575,0.28667917
9.185651,1637172.0,0.511616,10.00422343,0.245675754
9.206410384,1615403.747689236,0.5048134553902061,10.015127589095982,0.24120986735843503
9.375131588,1438483.0,0.449526,10.10375078,0.204913522
9.417554685,1387001.641725432,0.43343810296000423,10.13073133808109,0.19641929992120083
9.56852076,1203801.0,0.376188,10.22674387,0.166191913
9.633541471,1130722.432386399,0.3533508446764866,10.268397141494416,0.15448828777978715
9.765899143,981962.0,0.306863,10.35318751,0.130664116
9.854481804,886636.9751902907,0.27707379233273016,10.414037448938744,0.11673749366025243
9.967349025,765179.0,0.239118,10.49156914,0.098992947
10.08048929,666560.7922894431,0.20830018840709746,10.562894154107873,0.08376113081306241
10.17295439,585964.0,0.183114,10.62118529,0.071312765
10.31168014,478706.7870935516,0.14959583174345745,10.7086471825604,0.05557285478133926
10.38280097,423719.0,0.132412,10.75348646,0.047503441
10.54817324,300654.5380395467,0.09395425912045088,10.876854679971617,0.03291679908001306
10.59697623,264337.0,0.082605,10.91326186,0.028612137
10.79009018,152111.89105267462,0.04753509517379891,11.09116040796634,0.01767505309649294
10.81556948,137305.0,0.042908,11.1146322,0.016232023
11.03755537,70515.91329446253,0.022035975093898555,11.304869030744516,0.008842169998230752
11.03867184,70180.0,0.021931,11.30582582,0.008805003
11.26637634,30487.0,0.009527,11.50996517,0.004315894
11.29069604,28713.264423526278,0.008972694551706118,11.528691333642167,0.004070872260369255
11.4987779,13537.0,0.00423,11.68891432,0.001974441
11.54964236,11470.00248415327,0.0035841034839993414,11.738846795502273,0.0017279384117194724
11.73597341,3898.0,0.001218,11.92176372,0.000824929
11.81452748,3067.967068800821,0.000958736390919412,11.996709051476925,0.0007285234980617398
11.97806177,1340.0,0.000419,12.15273065,0.000527826
12.08548761,757.3976425327771,0.00023682806882181613,12.184214324877493,0.00029833893139366086
12.22514389,0.0,0.0,12.22514389,0.0
