Threshold,Counts,Parameterspace Fraction,Mean PCE,Fill Fraction
9.0,1207556.0,0.377361,9.9799562,0.31492806
9.135400923,1107033.993484539,0.34594777890559963,10.063518513421288,0.2859221073207809
9.17994278,1073966.0,0.335614,10.0910074,0.27638023
9.272838892,1002559.0779893489,0.3132995583053551,10.15354821854718,0.2575859967585852
9.36348328,932883.0,0.291526,10.2145731,0.23924732
9.412344553,902775.9594003721,0.28211758243723334,10.242672552164963,0.2300377455631868
9.55069342,817529.0,0.255478,10.3222351,0.20396118
9.553949013,815328.6339281125,0.254790389864828,10.324378866232392,0.20338070276664022
9.697683848,718182.1987679699,0.22443231705804273,10.419026411454174,0.17775256087107374
9.74164657,688469.0,0.215147,10.4479753,0.16991394
9.843581109,620361.0419269651,0.19386316497295789,10.522516033961974,0.15373943956498115
9.93641757,558332.0,0.174479,10.5904037,0.13900858
9.991673328,527514.9177624995,0.1648485748835869,10.629072255756958,0.13134075069113035
10.1350828,447533.0,0.139854,10.7294317,0.11143985
10.14199353,444299.39937938284,0.13884349980605715,10.733911725156162,0.1105765799912502
10.29457523,372904.8752387023,0.11653271101209448,10.832826001125529,0.09151647990138528
10.33772,352717.0,0.110224,10.8607955,0.08612695
10.44945245,308504.317409466,0.09640777319563174,10.929651697329874,0.07390943329918845
10.5444087,270930.0,0.084666,10.9881694,0.06352633
10.60665973,246169.68013818335,0.07692821549384758,11.034482985676705,0.05791348492007865
10.7552298,187076.0,0.058461,11.1450163,0.04451771
10.76623212,183913.800401607,0.057472850999227165,11.152212647441816,0.043706649088573975
10.9282052,137360.78171768284,0.04292559758775497,11.25815526317206,0.03176643703409006
10.970266,125272.0,0.039148,11.2856662,0.02866583
11.0926151,93175.21674183314,0.02911733686916308,11.386750428038676,0.022084154214541567
11.1896016,67732.0,0.021166,11.4668802,0.01686684
11.25949847,57595.24502024608,0.01799828359563184,11.5161794463214,0.014360173115014255
11.4133225,35287.0,0.011027,11.6246737,0.00884368
11.6415164,13472.0,0.00421,11.7973724,0.00369826
11.8742727,3004.0,0.000939,12.0054079,0.00137408
12.1116827,0.0,0.0,12.1116827,0.0
