Threshold,Counts,Parameterspace Fraction,Mean PCE,Fill Fraction
9.0,1267432.0,0.396073,9.71396391,0.31598335
9.135400923,1121648.0,0.350515,9.7986768,0.27634503
9.17994278,1063796.2045656624,0.33243645571482544,9.835174824837717,0.26428864414344294
9.272838892,943141.0,0.294732,9.91129479,0.23914395
9.36348328,852317.0595764206,0.2663494373983575,9.976267486699486,0.2173014232394493
9.412344553,803359.0,0.25105,10.0112906,0.20552735
9.55069342,675096.248892959,0.21096721858519157,10.111363898671872,0.17476042992708968
9.553949013,672078.0,0.210024,10.1137188,0.17403643
9.697683848,587927.0,0.183727,10.1857634,0.1449639
9.74164657,559806.6013416318,0.17493941308508187,10.20927970938402,0.13618159533994656
9.843581109,494605.0,0.154564,10.263806,0.11581843
9.93641757,428967.239186888,0.13405239564676924,10.31987922227098,0.09821355569154494
9.991673328,389900.0,0.121844,10.3532537,0.08773523
10.1350828,306371.15461241937,0.09574087805640412,10.432299097356664,0.06393079700045648
10.14199353,302346.0,0.094483,10.4361082,0.06278369
10.29457523,198622.0,0.062069,10.5633246,0.0436473
10.33772,173722.49681844795,0.05428814900803372,10.604919434288204,0.03928929079482258
10.44945245,109240.0,0.034138,10.712638,0.02800331
10.5444087,88601.86447599642,0.027688280639039154,10.766826092168028,0.021813059261055256
10.60665973,75072.0,0.02346,10.8023505,0.01775488
10.7552298,38980.73011628125,0.012181245398530363,10.917403759183152,0.00985897900645027
10.76623212,36308.0,0.011346,10.925924,0.00927425
10.9282052,14232.0,0.004448,11.0721916,0.00488034
10.970266,11614.358935806174,0.003629859253001187,11.11595414810349,0.004360605729399507
11.0926151,4000.0,0.00125,11.2432534,0.00284877
11.1896016,3767.534656089461,0.0011773545800279565,11.252694456895902,0.0028438998510450742
11.25949847,3600.0,0.001125,11.2594985,0.00284039
