Threshold,Counts,Parameterspace Fraction,Mean PCE,Fill Fraction
9.0,416539.0,0.130168,9.80244025,0.220076163
9.185651,349041.527125767,0.10907554565429226,9.940442957612268,0.1827956839173197
9.206410384,341494.0,0.106717,9.955874338,0.178627003
9.375131588,287228.4720678017,0.08975892263617859,10.084851041834616,0.14963515846199707
9.417554685,273584.0,0.085495,10.11728082,0.142345477
9.56852076,235127.9322272936,0.07347778461593012,10.2207402305741,0.11976108301520447
9.633541471,218565.0,0.068302,10.26529994,0.110034041
9.765899143,186065.7111263835,0.05814544804491624,10.369024478668159,0.0935486548090832
9.854481804,164315.0,0.051348,10.43844392,0.082515525
9.967349025,143724.40598290166,0.044913782704365766,10.5183240385589,0.07109531416538256
10.08048929,123084.0,0.038464,10.5983974,0.059647476
10.17295439,107997.43391358269,0.03374937310711044,10.670871250123891,0.05221996808323904
10.31168014,85363.0,0.026676,10.77960405,0.041076449
10.38280097,75508.94406090498,0.023596513540564197,10.84761426787176,0.03700544398559406
10.54817324,52596.0,0.016436,11.00575365,0.027539422
10.59697623,48629.49649933578,0.015196543306475385,11.047292402999437,0.025606518537949107
10.79009018,32934.0,0.010292,11.21166169,0.017957999
10.81556948,31531.2573225349,0.009853591432718264,11.234171415463841,0.017274316798302037
11.03755537,19310.0,0.006034,11.43028518,0.011317803
11.03867184,19272.008188648644,0.006022131418116265,11.431296733147498,0.01129871162523348
11.26637634,11523.563171891721,0.003601529428321409,11.63760339940336,0.0074050181578542386
11.29069604,10696.0,0.003343,11.65963773,0.006989157
11.4987779,6752.875081213739,0.0021103214539600315,11.829431943467155,0.004645126333992617
11.54964236,5789.0,0.001809,11.8709372,0.004072141
11.73597341,3608.3329432774563,0.0011273656845276953,12.03624532524178,0.00279880096815167
11.81452748,2689.0,0.00084,12.10593648,0.002261982
11.97806177,1892.332007554026,0.0005913430205395899,12.20761238529036,0.0015651135726259058
12.08548761,1369.0,0.000428,12.27440339,0.00110734
12.22514389,887.8166059744469,0.00027734676982864884,12.381156571213593,0.0007677303337789495
12.36266207,414.0,0.000129,12.48627539,0.00043332
12.64619339,72.0,2.3e-05,12.64619339,0.000172853
