name,channel,pce,jsc,voc,ff
1_01A,A,431.9,-884.722,1.0,0.488
1_01A,B,0.635,-0.38,0.85,1.967
1_01A,C,0.232,-0.154,0.92,1.63
1_01A,D,0.11,-0.175,0.99,0.639
1_01A,E,0.034,-0.13,0.81,0.326
1_01A,F,0.069,-0.098,0.99,0.71
1_02A,A,0.213,2.557,0.83,0.1
1_02A,B,0.223,2.715,0.8,0.103
1_02A,C,0.246,2.859,0.82,0.105
1_02A,D,0.203,2.384,0.83,0.102
1_02A,E,0.199,2.436,0.8,0.102
1_02A,F,0.213,2.593,0.8,0.103
1_03A,A,0.362,3.036,0.82,0.146
1_03A,B,1.17,5.446,0.83,0.259
1_03A,C,2.651,7.633,0.82,0.424
1_03A,D,4.22,9.552,0.82,0.539
1_03A,E,0.261,2.443,0.59,0.181
1_03A,F,1.055,4.873,0.83,0.261
1_04A,A,8.361,16.724,0.75,0.667
1_04A,B,8.632,16.629,0.75,0.692
1_04A,C,8.936,16.663,0.75,0.715
1_04A,D,0.005,0.015,0.87,0.427
1_04A,E,6.271,18.574,0.6,0.563
1_04A,F,9.862,18.926,0.75,0.695
1_05A,A,8.727,20.758,0.71,0.592
1_05A,B,10.977,22.096,0.75,0.662
1_05A,C,11.431,22.365,0.74,0.691
1_05A,D,0.002,0.005,0.736,0.575
1_05A,E,10.263,20.433,0.74,0.679
1_05A,F,10.693,20.467,0.74,0.706
1_06A,A,0.808,4.82,0.86,0.195
1_06A,B,0.816,4.727,0.86,0.201
1_06A,C,1.342,5.286,0.86,0.295
1_06A,D,0.607,3.565,0.8,0.213
1_06A,E,0.808,5.154,0.85,0.184
1_06A,F,1.352,5.775,0.86,0.272
1_07A,A,2.577,6.668,0.86,0.449
1_07A,B,1.429,5.676,0.85,0.296
1_07A,C,2.286,6.274,0.85,0.429
1_07A,D,1.636,5.256,0.84,0.371
1_07A,E,2.804,7.085,0.85,0.466
1_07A,F,2.828,7.109,0.85,0.468
1_08A,A,10.842,20.104,0.83,0.65
1_08A,B,11.347,20.808,0.83,0.657
1_08A,C,0.0,0.001,0.83,0.826
1_08A,D,11.982,22.539,0.83,0.641
1_08A,E,10.049,22.062,0.75,0.607
1_08A,F,10.83,22.311,0.75,0.647
