name,channel,pce,jsc,voc,ff
1_01C,a,12.016,23.693,0.83,0.605
1_01C,b,11.302,23.282,0.83,0.579
1_01C,c,11.99,22.731,0.83,0.629
1_01C,d,10.874,21.084,0.84,0.608
1_01C,e,10.895,22.159,0.83,0.586
1_01C,f,11.462,22.072,0.83,0.619
1_02C,a,6.829,16.374,0.86,0.48
1_02C,b,8.879,17.778,0.85,0.582
1_02C,c,9.865,18.516,0.86,0.613
1_02C,d,0.04,0.047,0.923,0.912
1_02C,e,7.638,17.147,0.85,0.519
1_02C,f,9.129,17.93,0.85,0.593
1_03C,a,12.106,21.269,0.84,0.671
1_03C,b,12.001,20.711,0.83,0.691
1_03C,c,13.025,21.62,0.83,0.719
1_03C,d,0.001,0.001,0.78,0.47
1_03C,e,-0.003,21.118,0.99,0.0
1_03C,f,0.005,0.013,0.94,0.398
1_21B,a,4.204,8.715,0.82,0.582
1_21B,b,4.429,10.035,0.83,0.526
1_21B,c,5.522,9.979,0.82,0.668
1_21B,d,4.223,9.16,0.83,0.55
1_21B,e,5.053,9.126,0.82,0.669
1_21B,f,2.693,8.547,0.72,0.433
1_22B,a,11.738,20.076,0.84,0.689
1_22B,b,12.114,20.318,0.83,0.711
1_22B,c,11.522,19.543,0.83,0.703
1_22B,d,9.353,17.281,0.82,0.653
1_22B,e,10.826,18.302,0.83,0.706
1_22B,f,10.911,18.446,0.83,0.706
1_23B,a,4.057,11.05,0.8,0.454
1_23B,b,3.839,10.18,0.79,0.473
1_23B,c,4.259,11.153,0.79,0.479
1_23B,d,1.016,8.195,0.35,0.351
1_23B,e,4.362,12.112,0.8,0.446
1_23B,f,4.853,12.623,0.85,0.448
1_24B,a,4.697,13.203,0.82,0.429
1_24B,b,5.289,14.881,0.82,0.429
1_24B,c,5.845,16.29,0.83,0.428
1_24B,d,5.433,16.026,0.82,0.409
1_24B,e,5.099,14.562,0.82,0.423
1_24B,f,5.506,15.58,0.82,0.427
1_25B,a,9.902,23.133,0.8,0.53
1_25B,b,11.492,24.068,0.82,0.576
1_25B,c,12.149,24.268,0.81,0.612
1_25B,d,10.859,22.328,0.81,0.594
1_25B,e,10.157,21.388,0.81,0.58
1_25B,f,9.544,18.862,0.81,0.618
