name,channel,pce,jsc,voc,ff
2_06A,a,6.438,15.718,0.82,0.488
2_06A,b,6.713,15.823,0.8,0.518
2_06A,c,6.992,16.331,0.8,0.522
2_06A,d,6.943,16.738,0.8,0.506
2_06A,e,7.342,17.356,0.8,0.516
2_06A,f,7.285,17.407,0.8,0.511
2_08A,a,9.011,21.38,0.82,0.502
2_08A,b,9.302,21.599,0.8,0.525
2_08A,c,0.001,0.001,0.795,0.827
2_08A,d,9.55,22.652,0.8,0.514
2_08A,e,9.675,22.473,0.8,0.525
2_08A,f,9.818,22.066,0.8,0.543
2_09A,a,10.458,22.184,0.8,0.575
2_09A,b,10.712,22.162,0.79,0.597
2_09A,c,10.749,21.26,0.79,0.625
2_09A,d,9.387,20.063,0.79,0.578
2_09A,e,9.743,20.55,0.79,0.586
2_09A,f,9.892,20.327,0.79,0.601
2_10A,a,11.596,24.465,0.85,0.544
2_10A,b,11.623,23.974,0.84,0.563
2_10A,c,12.265,24.124,0.84,0.591
2_10A,d,9.549,19.789,0.84,0.561
2_10A,e,9.016,18.662,0.83,0.568
2_10A,f,9.456,18.793,0.84,0.585
2_11A,a,8.244,15.962,0.84,0.6
2_11A,b,8.168,15.675,0.83,0.613
2_11A,c,8.502,15.662,0.83,0.638
2_11A,d,7.42,13.682,0.84,0.63
2_11A,e,8.257,16.167,0.83,0.601
2_11A,f,8.654,16.148,0.83,0.63
2_912A,a,8.752,20.847,0.79,0.519
2_912A,b,9.278,20.975,0.79,0.546
2_912A,c,9.683,20.914,0.79,0.572
2_912A,d,8.846,22.068,0.8,0.489
2_912A,e,9.465,22.388,0.79,0.522
2_912A,f,10.104,22.686,0.78,0.557
2_913A,a,8.331,14.758,0.82,0.672
2_913A,b,9.53,16.807,0.81,0.683
2_913A,c,10.03,17.335,0.81,0.697
2_913A,d,8.863,15.918,0.81,0.671
2_913A,e,7.012,15.749,0.67,0.649
2_913A,f,9.716,16.619,0.81,0.704
