name,channel,pce,jsc,voc,ff
ADoE_30A,A,10.087,20.915,0.79,0.604
ADoE_30A,B,10.263,20.996,0.79,0.613
ADoE_30A,C,0.003,0.007,0.921,0.409
ADoE_30A,D,10.204,21.082,0.79,0.607
ADoE_30A,E,10.885,22.604,0.79,0.603
ADoE_30A,F,11.255,22.264,0.79,0.634
ADoE_31A,A,5.494,19.26,0.7,0.403
ADoE_31A,B,10.413,21.735,0.8,0.593
ADoE_31A,C,10.774,21.685,0.8,0.615
ADoE_31A,D,0.002,0.004,0.931,0.494
ADoE_31A,E,10.734,22.12,0.8,0.601
ADoE_31A,F,11.066,21.472,0.8,0.638
ADoE_32A,A,8.538,20.521,0.78,0.528
ADoE_32A,B,8.984,20.971,0.77,0.551
ADoE_32A,C,0.001,0.001,0.766,0.852
ADoE_32A,D,0.173,0.42,0.932,0.439
ADoE_32A,E,8.761,20.746,0.77,0.543
ADoE_32A,F,9.237,21.423,0.77,0.554
ADoE_33A,A,10.146,22.473,0.81,0.552
ADoE_33A,B,10.3,23.339,0.8,0.546
ADoE_33A,C,11.697,23.348,0.8,0.62
ADoE_33A,D,9.399,21.878,0.8,0.532
ADoE_33A,E,10.44,21.776,0.8,0.593
ADoE_33A,F,0.092,0.171,0.92,0.579
ADoE_34A,A,8.737,22.405,0.72,0.536
ADoE_34A,B,0.075,0.198,0.931,0.403
ADoE_34A,C,-0.069,21.557,0.52,0.006
ADoE_34A,D,0.055,0.132,0.931,0.441
ADoE_34A,E,11.034,22.939,0.79,0.603
ADoE_34A,F,0.02,0.049,0.931,0.431
ADoE_35A,A,5.637,16.063,0.81,0.429
ADoE_35A,B,5.926,16.729,0.81,0.433
ADoE_35A,C,0.0,0.001,0.795,0.827
ADoE_35A,D,-0.0,0.011,0.35,0.021
ADoE_35A,E,5.721,16.541,0.8,0.428
ADoE_35A,F,0.003,0.008,0.848,0.474
