name,channel,pce,jsc,voc,ff
1_03D,a,0.599,1.968,0.75,0.402
1_03D,b,1.742,4.909,0.75,0.468
1_03D,c,6.367,13.636,0.72,0.642
1_03D,d,4.069,9.338,0.73,0.591
1_03D,e,1.555,4.968,0.68,0.456
1_03D,f,3.813,8.509,0.72,0.616
1_06D,a,5.303,10.343,0.74,0.686
1_06D,b,5.093,10.203,0.74,0.668
1_06D,c,5.101,9.811,0.74,0.696
1_06D,d,3.761,7.856,0.73,0.649
1_06D,e,4.615,8.953,0.73,0.699
1_06D,f,4.477,8.875,0.74,0.675
1_10C,a,4.521,15.853,0.87,0.325
1_10C,b,4.687,15.147,0.87,0.352
1_10C,c,4.924,15.714,0.87,0.357
1_10C,d,4.209,13.571,0.87,0.353
1_10C,e,4.576,14.726,0.86,0.358
1_10C,f,3.951,13.966,0.86,0.326
1_13C,a,0.062,0.407,0.94,0.159
1_13C,b,0.098,0.593,0.88,0.185
1_13C,c,0.175,0.955,0.84,0.216
1_13C,d,0.343,1.792,0.81,0.234
1_13C,e,0.074,0.465,0.91,0.174
1_13C,f,0.1,0.593,0.87,0.191
1_20C,a,0.053,0.267,0.85,0.233
1_20C,b,0.037,0.18,0.92,0.22
1_20C,c,0.036,0.171,0.92,0.226
1_20C,d,0.033,0.157,0.93,0.222
1_20C,e,0.026,0.15,0.81,0.21
1_20C,f,0.034,0.164,0.91,0.227
1_21D,a,9.564,17.044,0.82,0.678
1_21D,b,9.608,16.684,0.81,0.704
1_21D,c,8.787,15.759,0.81,0.682
1_21D,d,5.388,15.433,0.79,0.438
1_21D,e,9.755,17.33,0.81,0.688
1_21D,f,10.06,17.351,0.81,0.709
1_23C,a,9.886,21.119,0.81,0.572
1_23C,b,9.779,21.026,0.81,0.568
1_23C,c,0.003,0.006,0.796,0.525
1_23C,d,8.307,21.098,0.81,0.481
1_23C,e,9.692,21.197,0.8,0.566
1_23C,f,10.503,21.493,0.8,0.605
1_24C,a,7.621,19.975,0.84,0.45
1_24C,b,7.031,18.474,0.83,0.454
1_24C,c,7.211,19.018,0.83,0.452
1_24C,d,5.511,18.329,0.77,0.387
1_24C,e,8.216,19.621,0.92,0.451
1_24C,f,1.961,14.779,0.37,0.355
