name,channel,pce,jsc,voc,ff
ADoE_26A,A,1.526,4.288,0.81,0.431
ADoE_26A,B,1.152,3.152,0.78,0.459
ADoE_26A,C,1.122,3.078,0.77,0.464
ADoE_26A,D,1.213,3.378,0.78,0.451
ADoE_26A,E,1.172,3.248,0.77,0.459
ADoE_26A,F,1.353,3.759,0.78,0.452
ADoE_36A,A,4.276,20.62,0.53,0.383
ADoE_36A,B,9.986,22.267,0.82,0.536
ADoE_36A,C,0.001,0.001,0.82,0.628
ADoE_36A,D,9.75,22.16,0.82,0.526
ADoE_36A,E,9.737,21.882,0.82,0.532
ADoE_36A,F,9.777,21.374,0.82,0.547
ADoE_37A,A,7.248,14.842,0.86,0.557
ADoE_37A,B,7.982,16.725,0.86,0.544
ADoE_37A,C,8.408,16.723,0.85,0.58
ADoE_37A,D,8.062,16.649,0.86,0.552
ADoE_37A,E,8.108,16.663,0.85,0.561
ADoE_37A,F,8.301,16.358,0.86,0.578
ADoE_38A,A,10.035,20.596,0.82,0.582
ADoE_38A,B,10.507,20.696,0.81,0.614
ADoE_38A,C,10.987,20.865,0.81,0.637
ADoE_38A,D,9.18,18.571,0.82,0.591
ADoE_38A,E,9.435,19.451,0.81,0.587
ADoE_38A,F,10.12,19.419,0.81,0.63
ADoE_39A,A,3.773,11.088,0.76,0.439
ADoE_39A,B,4.193,11.746,0.75,0.466
ADoE_39A,C,4.14,11.443,0.75,0.473
ADoE_39A,D,3.995,11.241,0.75,0.464
ADoE_39A,E,4.157,11.58,0.75,0.469
ADoE_39A,F,4.03,11.04,0.75,0.477
ADoE_41A,A,7.471,13.378,0.81,0.676
ADoE_41A,B,7.583,13.509,0.8,0.688
ADoE_41A,C,7.72,13.446,0.8,0.703
ADoE_41A,D,7.161,13.006,0.8,0.674
ADoE_41A,E,7.844,14.158,0.8,0.679
ADoE_41A,F,8.313,14.795,0.8,0.688
ADoE_42A,A,5.399,20.044,0.67,0.394
ADoE_42A,B,-0.187,20.599,0.65,0.014
ADoE_42A,C,0.006,0.011,0.899,0.608
ADoE_42A,D,10.131,22.456,0.82,0.539
ADoE_42A,E,10.025,22.004,0.81,0.551
ADoE_42A,F,11.144,23.487,0.82,0.567
