name,channel,pce,jsc,voc,ff
ADoE_23A,A,8.872,21.322,0.84,0.49
ADoE_23A,B,9.269,21.768,0.83,0.508
ADoE_23A,C,10.06,22.299,0.83,0.538
ADoE_23A,D,2.336,16.733,0.39,0.354
ADoE_23A,E,9.779,22.082,0.83,0.528
ADoE_23A,F,9.762,21.462,0.83,0.543
ADoE_24A,A,9.104,20.128,0.83,0.54
ADoE_24A,B,9.253,19.992,0.83,0.552
ADoE_24A,C,11.069,21.803,0.83,0.606
ADoE_24A,D,10.517,22.234,0.84,0.557
ADoE_24A,E,9.274,20.637,0.83,0.536
ADoE_24A,F,0.001,0.001,0.815,0.847
ADoE_25A,A,9.781,19.818,0.82,0.596
ADoE_25A,B,10.461,21.076,0.81,0.607
ADoE_25A,C,10.868,21.085,0.81,0.63
ADoE_25A,D,10.727,22.198,0.81,0.591
ADoE_25A,E,4.436,21.034,0.44,0.475
ADoE_25A,F,11.461,21.278,0.81,0.658
ADoE_26A,A,0.445,5.23,0.13,0.648
ADoE_26A,B,0.012,-0.023,1,0.542
ADoE_26A,C,0.002,-0.002,0.99,0.844
ADoE_26A,D,0.003,-0.006,0.94,0.575
ADoE_26A,E,236.868,-344.63,0.99,0.687
ADoE_26A,F,0,-0.103,0.78,0
ADoE_27A,A,9.105,19.375,0.78,0.596
ADoE_27A,B,9.569,20.219,0.77,0.608
ADoE_27A,C,10.016,20.438,0.77,0.63
ADoE_27A,D,10.452,22.441,0.77,0.599
ADoE_27A,E,10.681,22.059,0.77,0.623
ADoE_27A,F,10.5,21.763,0.77,0.62
ADoE_28A,A,7.006,12.216,0.83,0.684
ADoE_28A,B,6.975,12.229,0.82,0.689
ADoE_28A,C,0.003,0.002,0.816,1.506
ADoE_28A,D,5.502,9.686,0.83,0.677
ADoE_28A,E,6.66,12.291,0.82,0.654
ADoE_28A,F,6.992,12.467,0.82,0.677
ADoE_29A,A,9.588,21.308,0.82,0.543
ADoE_29A,B,10.47,21.881,0.82,0.578
ADoE_29A,C,0.001,0.001,0.805,0.797
ADoE_29A,D,0.036,0.098,0.826,0.434
ADoE_29A,E,9.717,21.063,0.81,0.564
ADoE_29A,F,10.201,21.098,0.81,0.591
