name,channel,pce,jsc,voc,ff
ADoE_17_A,A,6.778,19.187,0.75,0.466
ADoE_17_A,B,9.194,23.943,0.75,0.507
ADoE_17_A,C,9.851,24.66,0.75,0.527
ADoE_17_A,D,7.694,20.21,0.74,0.509
ADoE_17_A,E,8.549,22.039,0.74,0.519
ADoE_17_A,F,0.001,0.003,0.796,0.401
ADoE_18_A,A,12.207,23.345,0.84,0.616
ADoE_18_A,B,12.472,23.541,0.84,0.624
ADoE_18_A,C,13.645,24.007,0.84,0.67
ADoE_18_A,D,12.347,23.854,0.85,0.603
ADoE_18_A,E,12.177,23.468,0.83,0.619
ADoE_18_A,F,12.241,22.805,0.83,0.64
ADoE_19_A,A,5.189,9.582,0.81,0.662
ADoE_19_A,B,5.92,11.018,0.8,0.665
ADoE_19_A,C,5.89,10.775,0.79,0.685
ADoE_19_A,D,2.725,10.263,0.52,0.506
ADoE_19_A,E,4.823,10.653,0.74,0.606
ADoE_19_A,F,2.873,9.268,0.52,0.59
ADoE_20_A,A,10.328,23.205,0.8,0.551
ADoE_20_A,B,10.732,23.449,0.79,0.574
ADoE_20_A,C,0.007,0.009,0.973,0.73
ADoE_20_A,D,9.41,21.134,0.8,0.551
ADoE_20_A,E,10.133,22.289,0.79,0.57
ADoE_20_A,F,10.559,22.206,0.79,0.596
ADoE_21_A,A,8.519,20.225,0.81,0.515
ADoE_21_A,B,8.377,19.552,0.8,0.53
ADoE_21_A,C,0.002,0.006,0.941,0.371
ADoE_21_A,D,8.936,21.174,0.8,0.522
ADoE_21_A,E,8.639,20.085,0.8,0.532
ADoE_21_A,F,9.365,20.892,0.8,0.555
ADoE_22_A,A,6.833,12.506,0.8,0.676
ADoE_22_A,B,6.752,12.155,0.8,0.687
ADoE_22_A,C,0.0,0.001,0.785,0.798
ADoE_22_A,D,5.362,9.949,0.8,0.667
ADoE_22_A,E,6.339,11.555,0.8,0.679
ADoE_22_A,F,6.597,11.844,0.8,0.689
ADoE_23_Z,A,5.199,13.02,0.71,0.557
ADoE_23_Z,B,0.0,0.001,1.0,0.66
ADoE_23_Z,C,0.001,0.002,0.826,0.472
ADoE_23_Z,D,3.258,11.558,0.81,0.345
ADoE_23_Z,E,7.71,13.946,0.81,0.676
ADoE_23_Z,F,7.768,13.853,0.8,0.694
Y6_15_D,A,-0.057,36.539,0.87,-0.002
Y6_15_D,B,0.0,1.419,0.01,0.008
Y6_15_D,C,0.764,2.233,0.86,0.394
Y6_15_D,D,0.853,2.521,0.86,0.39
Y6_15_D,E,0.0,0.006,0.91,0.014
Y6_15_D,F,0.819,2.385,0.86,0.395
