name,channel,pce,jsc,voc,ff
ADoE_10_A,A,9.736,20.092,0.79,0.607
ADoE_10_A,B,10.95,22.287,0.79,0.616
ADoE_10_A,C,11.491,22.668,0.78,0.644
ADoE_10_A,D,9.565,19.663,0.78,0.618
ADoE_10_A,E,10.097,20.37,0.78,0.629
ADoE_10_A,F,10.102,19.257,0.78,0.666
ADoE_11_A,A,6.665,10.941,0.84,0.718
ADoE_11_A,B,6.88,11.166,0.84,0.726
ADoE_11_A,C,7.056,11.248,0.84,0.739
ADoE_11_A,D,6.223,10.31,0.84,0.711
ADoE_11_A,E,7.217,11.964,0.83,0.719
ADoE_11_A,F,7.525,12.228,0.83,0.734
ADoE_12_A,A,9.133,21.233,0.8,0.532
ADoE_12_A,B,8.928,20.466,0.79,0.547
ADoE_12_A,C,9.433,21.204,0.79,0.557
ADoE_12_A,D,2.751,18.223,0.43,0.348
ADoE_12_A,E,7.737,20.488,0.74,0.505
ADoE_12_A,F,-0.0,0.0,0.99,0.01
ADoE_13_A,A,-0.028,-460.193,0.49,0.0
ADoE_13_A,B,6.434,10.953,0.8,0.727
ADoE_13_A,C,5.995,10.051,0.8,0.738
ADoE_13_A,D,0.004,0.01,1.0,0.411
ADoE_13_A,E,6.26,10.776,0.8,0.719
ADoE_13_A,F,0.001,0.001,1.0,0.671
ADoE_14_A,A,9.612,21.551,0.85,0.52
ADoE_14_A,B,10.062,21.475,0.84,0.552
ADoE_14_A,C,10.275,21.559,0.84,0.562
ADoE_14_A,D,9.516,21.661,0.84,0.518
ADoE_14_A,E,10.06,21.5,0.84,0.551
ADoE_14_A,F,10.738,22.126,0.84,0.572
ADoE_15_A,A,7.095,20.751,0.72,0.47
ADoE_15_A,B,10.424,21.113,0.79,0.619
ADoE_15_A,C,10.228,19.921,0.79,0.643
ADoE_15_A,D,10.008,22.057,0.79,0.569
ADoE_15_A,E,11.326,23.356,0.79,0.608
ADoE_15_A,F,11.66,23.3,0.79,0.627
ADoE_16_A,A,8.374,22.713,0.76,0.48
ADoE_16_A,B,8.617,22.88,0.76,0.491
ADoE_16_A,C,9.157,23.335,0.76,0.511
ADoE_16_A,D,7.974,22.102,0.76,0.47
ADoE_16_A,E,8.538,23.001,0.76,0.484
ADoE_16_A,F,5.969,22.35,0.62,0.427
Y6_15_C,A,0.745,2.2,0.87,0.386
Y6_15_C,B,0.676,2.017,0.87,0.382
Y6_15_C,C,0.739,2.189,0.87,0.384
Y6_15_C,D,0.1,1.205,0.22,0.375
Y6_15_C,E,0.169,1.489,0.32,0.35
Y6_15_C,F,0.0,0.0,1.0,0.446
