name,channel,pce,jsc,voc,ff
2_07A,a,6.656,12.481,0.82,0.635
2_07A,b,8.473,15.27,0.81,0.669
2_07A,c,8.368,14.587,0.81,0.691
2_07A,d,8.413,15.383,0.81,0.659
2_07A,e,3.132,14.703,0.61,0.341
2_07A,f,8.366,14.712,0.81,0.685
2_12A,a,10.143,20.961,0.82,0.576
2_12A,b,10.561,21.092,0.81,0.603
2_12A,c,10.834,20.858,0.82,0.618
2_12A,d,10.552,22.846,0.82,0.55
2_12A,e,11.151,23.052,0.81,0.583
2_12A,f,11.582,23.069,0.81,0.605
2_13A,a,8.123,15.327,0.83,0.623
2_13A,b,9.656,17.692,0.82,0.65
2_13A,c,10.121,17.696,0.82,0.681
2_13A,d,10.235,18.939,0.82,0.643
2_13A,e,10.536,18.991,0.82,0.66
2_13A,f,10.714,18.604,0.82,0.686
2_14A,a,2.412,15.06,0.5,0.313
2_14A,b,6.078,17.987,0.73,0.452
2_14A,c,0.001,0.002,0.705,0.633
2_14A,d,2.878,18.359,0.48,0.319
2_14A,e,6.147,18.669,0.73,0.44
2_14A,f,6.019,18.589,0.71,0.445
2_15A,a,10.461,21.647,0.85,0.555
2_15A,b,12.253,22.885,0.85,0.615
2_15A,c,12.598,22.878,0.85,0.632
2_15A,d,11.401,21.303,0.85,0.615
2_15A,e,10.839,20.677,0.85,0.602
2_15A,f,10.623,20.604,0.85,0.592
2_16A,a,9.689,22.441,0.77,0.547
2_16A,b,0.269,0.605,0.819,0.53
2_16A,c,0.0,0.001,0.755,0.857
2_16A,d,0.115,0.28,0.786,0.512
2_16A,e,0.12,0.282,0.755,0.551
2_16A,f,9.787,21.808,0.76,0.576
2_17A,a,12.119,23.676,0.82,0.609
2_17A,b,12.584,23.501,0.82,0.637
2_17A,c,12.847,23.355,0.82,0.655
2_17A,d,11.826,23.243,0.82,0.606
2_17A,e,12.961,24.742,0.82,0.624
2_17A,f,13.205,25.449,0.82,0.618
2_18A,a,7.406,20.085,0.79,0.456
2_18A,b,0.003,0.008,0.858,0.478
2_18A,c,9.654,21.889,0.78,0.552
2_18A,d,8.619,20.674,0.78,0.522
2_18A,e,9.4,21.901,0.78,0.537
2_18A,f,9.797,22.237,0.78,0.551
