name,channel,pce,jsc,voc,ff
1_05B,a,8.28,21.705,0.76,0.497
1_05B,b,11.177,23.831,0.76,0.611
1_05B,c,11.694,23.845,0.76,0.639
1_05B,d,9.123,19.758,0.76,0.602
1_05B,e,9.705,20.086,0.76,0.629
1_05B,f,9.623,19.668,0.75,0.646
1_06B,a,4.222,9.013,0.77,0.602
1_06B,b,4.406,9.365,0.77,0.605
1_06B,c,4.35,8.863,0.77,0.631
1_06B,d,3.988,8.217,0.76,0.632
1_06B,e,4.182,9.398,0.77,0.572
1_06B,f,4.619,9.656,0.76,0.623
1_07B,a,1.879,4.728,0.83,0.474
1_07B,b,8.249,15.869,0.77,0.668
1_07B,c,8.247,15.665,0.77,0.677
1_07B,d,8.903,17.282,0.77,0.662
1_07B,e,8.787,17.001,0.77,0.665
1_07B,f,0.012,0.029,0.909,0.468
1_08B,a,7.826,20.668,0.73,0.514
1_08B,b,10.392,21.445,0.83,0.578
1_08B,c,10.475,21.27,0.82,0.595
1_08B,d,9.729,21.571,0.83,0.538
1_08B,e,10.004,22.159,0.82,0.545
1_08B,f,10.5,21.834,0.82,0.581
1_09B,a,9.175,21.499,0.8,0.528
1_09B,b,10.0,23.042,0.8,0.537
1_09B,c,0.036,0.104,0.93,0.363
1_09B,d,0.009,0.037,0.94,0.256
1_09B,e,4.096,19.5,0.53,0.392
1_09B,f,5.073,20.52,0.89,0.275
1_10B,a,11.338,22.186,0.83,0.61
1_10B,b,11.873,22.624,0.83,0.626
1_10B,c,12.336,22.215,0.83,0.662
1_10B,d,10.355,23.336,0.83,0.529
1_10B,e,12.617,24.675,0.83,0.61
1_10B,f,13.419,25.077,0.83,0.638
1_11B,a,4.485,11.978,0.62,0.598
1_11B,b,7.637,12.55,0.83,0.726
1_11B,c,7.032,11.541,0.82,0.736
1_11B,d,5.799,10.778,0.82,0.649
1_11B,e,8.009,13.347,0.83,0.716
1_11B,f,8.368,13.663,0.83,0.731
1_12B,a,0.674,3.729,0.57,0.314
1_12B,b,1.461,4.36,0.83,0.4
1_12B,c,0.0,0.004,0.08,0.902
1_12B,d,1.161,4.526,0.67,0.379
1_12B,e,0.445,3.329,0.4,0.331
1_12B,f,1.721,5.194,0.82,0.4
