name,trial,channel,pce,jsc,voc,ff
1,a,a,9.853,19.157,0.79,0.63
1,a,b,10.725,19.825,0.79,0.662
1,a,c,0.001,11.708,0.01,0.008
1,a,d,8.878,17.858,0.79,0.609
1,a,e,9.824,18.447,0.78,0.66
1,a,f,0.042,0.093,0.73,0.601
1,b,a,8.859,17.198,0.82,0.608
1,b,b,10.045,18.249,0.81,0.657
1,b,c,10.716,18.974,0.8,0.683
1,b,d,2.668,4.151,0.81,0.767
1,b,e,3.946,5.816,0.8,0.82
1,b,f,0.605,1.043,0.79,0.71
1,c,a,9.708,19.269,0.82,0.594
1,c,b,11.714,21.336,0.82,0.648
1,c,c,12.261,20.838,0.82,0.694
1,c,d,9.646,17.749,0.82,0.641
1,c,e,10.817,19.623,0.82,0.65
1,c,f,10.658,17.73,0.82,0.709
1,d,a,10.052,19.582,0.82,0.605
1,d,b,10.507,19.882,0.82,0.623
1,d,c,11.337,18.711,0.82,0.715
1,d,d,8.384,15.84,0.82,0.624
1,d,e,9.64,17.307,0.81,0.665
1,d,f,9.966,16.979,0.81,0.701
10,a,a,8.123,16.463,0.78,0.612
10,a,b,8.369,17.007,0.76,0.626
10,a,c,8.544,17.759,0.75,0.62
10,a,d,2.348,4.192,0.77,0.704
10,a,e,2.982,5.068,0.74,0.769
10,a,f,8.81,16.844,0.76,0.666
10,b,a,9.644,19.701,0.8,0.592
10,b,b,9.085,17.984,0.79,0.618
10,b,c,9.36,18.147,0.78,0.64
10,b,d,7.639,16.422,0.79,0.57
10,b,e,8.753,17.141,0.79,0.625
10,b,f,9.15,17.518,0.78,0.648
10,c,a,7.487,16.009,0.79,0.573
10,c,b,8.22,16.747,0.78,0.609
10,c,c,8.791,16.837,0.77,0.656
10,c,d,8.636,18.198,0.78,0.588
10,c,e,8.425,17.983,0.77,0.588
10,c,f,8.82,17.197,0.76,0.653
10,d,a,9.644,21.267,0.79,0.555
10,d,b,9.218,19.735,0.78,0.579
10,d,c,9.936,19.748,0.77,0.632
10,d,d,7.191,15.633,0.78,0.57
10,d,e,8.283,16.447,0.78,0.625
10,d,f,8.678,16.717,0.77,0.652
13,a,a,10.422,20.335,0.81,0.612
13,a,b,10.757,19.706,0.81,0.652
13,a,c,10.871,18.768,0.8,0.7
13,a,d,8.305,16.548,0.81,0.599
13,a,e,9.279,17.432,0.8,0.644
13,a,f,9.792,17.465,0.8,0.678
13,b,a,8.86,17.642,0.79,0.615
13,b,b,9.177,18.142,0.77,0.635
13,b,c,0.0,9.051,0.01,0.005
13,b,d,8.478,18.316,0.78,0.574
13,b,e,9.022,18.135,0.78,0.617
13,b,f,9.0,17.885,0.75,0.649
13,c,a,8.224,16.25,0.81,0.604
13,c,b,9.351,17.647,0.81,0.633
13,c,c,9.893,17.732,0.8,0.675
13,c,d,8.913,17.499,0.8,0.616
13,c,e,9.373,17.499,0.8,0.648
13,c,f,9.224,16.487,0.79,0.685
13,d,a,1.076,1.823,0.82,0.696
13,d,b,10.343,20.855,0.81,0.592
13,d,c,11.117,20.091,0.81,0.661
13,d,d,9.383,18.821,0.81,0.595
13,d,e,9.748,18.363,0.8,0.642
13,d,f,9.253,17.291,0.78,0.664
16,a,a,5.561,10.889,0.84,0.588
16,a,b,6.376,12.271,0.83,0.606
16,a,c,5.948,11.64,0.83,0.595
16,a,d,3.441,5.773,0.83,0.695
16,a,e,0.972,1.828,0.82,0.627
16,a,f,3.857,6.575,0.83,0.684
16,b,a,6.4,13.008,0.82,0.58
16,b,b,6.918,13.385,0.82,0.61
16,b,c,6.29,12.995,0.82,0.571
16,b,d,5.128,10.53,0.82,0.574
16,b,e,6.134,12.252,0.82,0.591
16,b,f,6.766,13.565,0.82,0.588
16,c,a,5.84,12.165,0.83,0.559
16,c,b,5.437,12.612,0.82,0.508
