name,channel,pce,jsc,voc,ff
0F_A,a,6.073,-9.589,1.0,0.628
0F_A,b,5.465,-9.533,0.99,0.574
0F_A,c,6.104,-9.539,0.99,0.641
0F_A,d,6.122,-9.882,0.99,0.621
0F_A,e,6.262,-10.086,0.99,0.622
0F_A,f,5.486,-10.062,0.99,0.546
0F_B,a,6.152,-9.8,1.0,0.623
0F_B,b,5.713,-9.265,0.99,0.618
0F_B,c,5.699,-9.301,0.99,0.614
0F_B,d,5.673,-9.395,0.99,0.605
0F_B,e,5.53,-9.377,0.99,0.591
0F_B,f,5.738,-9.358,0.99,0.614
1F_B,a,7.969,-13.985,0.97,0.583
1F_B,b,8.218,-14.065,0.97,0.598
1F_B,c,8.384,-14.219,0.97,0.603
1F_B,d,0.003,-0.05,0.23,0.258
1F_B,e,0.365,-12.845,0.36,0.078
1F_B,f,8.889,-15.144,0.96,0.607
2F_A,a,5.535,-11.921,0.92,0.501
2F_A,b,5.566,-11.849,0.91,0.512
2F_A,c,5.599,-11.759,0.91,0.519
2F_A,d,5.72,-12.246,0.9,0.515
2F_A,e,5.522,-12.028,0.9,0.506
2F_A,f,5.825,-12.128,0.9,0.529
