name,channel,pce,jsc,voc,ff
1_13B,a,0.095,0.882,0.82,0.13
1_13B,b,0.0,0.0,0.804,0.811
1_13B,c,0.353,2.538,0.8,0.172
1_13B,d,0.0,0.0,0.94,0.557
1_13B,e,0.0,0.001,0.94,-0.011
1_13B,f,0.367,2.412,0.8,0.188
1_14B,a,0.381,1.922,0.89,0.221
1_14B,b,0.412,1.915,0.88,0.242
1_14B,c,0.399,1.825,0.88,0.246
1_14B,d,0.215,1.432,0.9,0.165
1_14B,e,0.446,2.071,0.88,0.242
1_14B,f,0.501,2.188,0.88,0.258
1_15B,a,11.961,22.449,0.85,0.621
1_15B,b,12.434,23.195,0.84,0.632
1_15B,c,12.851,23.094,0.84,0.656
1_15B,d,2.675,21.745,0.35,0.348
1_15B,e,5.602,23.156,0.43,0.557
1_15B,f,10.013,23.281,0.64,0.665
1_16B,a,11.199,20.496,0.83,0.652
1_16B,b,10.851,20.538,0.82,0.638
1_16B,c,10.374,20.594,0.82,0.608
1_16B,d,8.158,19.389,0.81,0.514
1_16B,e,11.239,20.724,0.82,0.655
1_16B,f,10.457,20.636,0.82,0.612
1_17B,a,10.489,20.985,0.83,0.596
1_17B,b,12.433,21.925,0.83,0.676
1_17B,c,12.84,22.01,0.83,0.696
1_17B,d,11.229,20.482,0.83,0.654
1_17B,e,11.223,19.468,0.83,0.688
1_17B,f,11.284,19.393,0.83,0.694
1_18B,a,13.867,23.052,0.87,0.685
1_18B,b,14.233,22.983,0.89,0.689
1_18B,c,-0.226,22.498,0.93,0.011
1_18B,d,11.336,20.4,0.94,0.585
1_18B,e,5.957,21.9,0.55,0.49
1_18B,f,13.288,22.023,0.9,0.664
1_19B,a,11.474,21.865,0.81,0.641
1_19B,b,11.489,22.111,0.81,0.635
1_19B,c,9.637,21.832,0.79,0.553
1_19B,d,7.763,19.566,0.79,0.497
1_19B,e,10.537,20.104,0.81,0.641
1_19B,f,10.64,20.084,0.81,0.648
1_20B,a,5.333,18.57,0.84,0.338
1_20B,b,4.955,16.754,0.84,0.349
1_20B,c,5.538,17.66,0.84,0.37
1_20B,d,0.749,9.22,0.35,0.23
1_20B,e,7.325,19.253,0.85,0.443
1_20B,f,2.942,15.663,0.61,0.305
