name,channel,pce,jsc,voc,ff
0F_A,a,6.111,-9.515,1.0,0.632
0F_A,b,6.023,-9.413,0.99,0.636
0F_A,c,6.132,-9.481,0.99,0.643
0F_A,d,6.208,-9.851,0.99,0.626
0F_A,e,6.394,-10.104,0.99,0.629
0F_A,f,4.382,-10.18,0.97,0.437
0F_B,a,5.971,-9.539,1.0,0.616
0F_B,b,5.526,-9.123,0.99,0.602
0F_B,c,5.524,-9.113,0.99,0.602
0F_B,d,5.573,-9.291,0.99,0.596
0F_B,e,5.435,-9.207,0.99,0.587
0F_B,f,5.658,-9.222,0.99,0.61
1F_A,a,8.257,-14.461,0.97,0.579
1F_A,b,8.362,-14.582,0.96,0.588
1F_A,c,8.661,-14.969,0.96,0.593
1F_A,d,8.838,-15.78,0.96,0.574
1F_A,e,8.949,-15.681,0.96,0.585
1F_A,f,8.944,-15.529,0.96,0.59
1F_B,a,8.119,-13.954,0.98,0.584
1F_B,b,8.231,-14.052,0.97,0.594
1F_B,c,8.38,-14.167,0.97,0.6
1F_B,d,8.564,-14.764,0.97,0.588
1F_B,e,18.18,-21.259,0.99,0.85
1F_B,f,8.9,-14.979,0.96,0.609
2F_A,a,5.567,-11.869,0.92,0.502
2F_A,b,5.591,-11.811,0.91,0.512
2F_A,c,5.615,-11.673,0.91,0.52
2F_A,d,5.714,-12.226,0.91,0.505
2F_A,e,5.523,-11.942,0.9,0.506
2F_A,f,5.844,-12.072,0.9,0.529
