name,channel,pce,jsc,voc,ff
3_06B,a,3.199,11.901,0.65,0.404
3_06B,b,3.617,12.191,0.76,0.381
3_06B,c,4.496,14.188,0.78,0.397
3_06B,d,3.65,12.907,0.73,0.378
3_06B,e,3.328,12.69,0.77,0.332
3_06B,f,4.795,14.119,0.78,0.425
3_14B,a,1.169,4.07,0.81,0.346
3_14B,b,1.264,4.068,0.82,0.37
3_14B,c,1.282,4.064,0.82,0.376
3_14B,d,1.375,4.535,0.82,0.361
3_14B,e,1.249,4.197,0.82,0.354
3_14B,f,1.461,4.646,0.82,0.374
3_17B,a,2.44,7.011,0.85,0.4
3_17B,b,2.928,7.4,0.83,0.465
3_17B,c,3.335,7.592,0.83,0.517
3_17B,d,3.198,7.556,0.83,0.498
3_17B,e,2.967,7.473,0.83,0.467
3_17B,f,3.047,7.457,0.83,0.481
3_19B,a,4.822,11.023,0.67,0.637
3_19B,b,7.249,12.659,0.84,0.665
3_19B,c,0.0,0.0,0.845,0.839
3_19B,d,7.496,13.218,0.84,0.659
3_19B,e,7.455,12.979,0.83,0.675
3_19B,f,12.11,-105.483,0.29,0.386
3_20B,a,6.96,19.272,0.71,0.497
3_20B,b,10.509,20.536,0.82,0.609
3_20B,c,10.838,20.558,0.82,0.628
3_20B,d,10.755,22.027,0.81,0.588
3_20B,e,11.574,22.525,0.81,0.619
3_20B,f,11.909,22.552,0.82,0.629
3_30A,a,4.49,11.196,0.69,0.567
3_30A,b,7.463,17.51,0.72,0.578
3_30A,c,8.391,18.389,0.72,0.619
3_30A,d,8.185,19.038,0.74,0.567
3_30A,e,8.335,19.449,0.7,0.598
3_30A,f,8.47,19.932,0.67,0.619
3_31A,a,3.418,8.203,0.64,0.635
3_31A,b,5.402,10.657,0.77,0.643
3_31A,c,5.761,10.937,0.79,0.651
3_31A,d,5.276,10.848,0.74,0.641
3_31A,e,4.717,9.992,0.72,0.64
3_31A,f,4.796,9.129,0.77,0.666
3_32A,a,1.356,4.373,0.77,0.393
3_32A,b,1.457,4.699,0.81,0.374
3_32A,c,0.0,0.001,0.795,0.873
3_32A,d,1.792,5.449,0.8,0.401
3_32A,e,1.469,4.89,0.8,0.367
3_32A,f,1.28,4.525,0.8,0.345
