name,channel,pce,jsc,voc,ff
1_16C,a,3.708,10.095,0.83,0.438
1_16C,b,7.645,17.773,0.82,0.519
1_16C,c,7.543,17.11,0.82,0.532
1_16C,d,0.021,0.065,0.94,0.334
1_16C,e,3.752,16.169,0.58,0.396
1_16C,f,2.294,8.949,0.64,0.397
1_17C,a,8.001,21.257,0.81,0.46
1_17C,b,8.29,21.61,0.81,0.469
1_17C,c,0.042,0.098,0.808,0.53
1_17C,d,7.647,21.908,0.81,0.427
1_17C,e,8.883,23.197,0.81,0.468
1_17C,f,9.348,23.524,0.81,0.486
1_18C,a,1.239,4.788,0.84,0.305
1_18C,b,2.905,10.61,0.87,0.312
1_18C,c,0.023,0.056,0.929,0.445
1_18C,d,2.414,8.949,0.86,0.311
1_18C,e,2.641,9.29,0.86,0.327
1_18C,f,2.2,8.634,0.87,0.29
1_19C,a,8.121,20.94,0.81,0.474
1_19C,b,8.07,19.972,0.81,0.494
1_19C,c,6.741,16.688,0.81,0.494
1_19C,d,0.003,0.007,0.795,0.485
1_19C,e,8.171,20.382,0.8,0.496
1_19C,f,8.883,20.931,0.8,0.525
1_21C,a,3.633,10.67,0.8,0.421
1_21C,b,6.604,14.159,0.81,0.57
1_21C,c,0.027,0.229,0.93,0.124
1_21C,d,6.923,15.051,0.8,0.569
1_21C,e,7.175,15.266,0.8,0.582
1_21C,f,7.454,15.88,0.8,0.581
