name,channel,pce,jsc,voc,ff
2_01A,a,6.152,11.669,0.82,0.628
2_01A,b,8.223,16.023,0.81,0.618
2_01A,c,9.276,17.037,0.82,0.648
2_01A,d,7.62,15.429,0.81,0.595
2_01A,e,9.331,17.851,0.82,0.622
2_01A,f,8.034,14.484,0.81,0.668
2_01B,a,7.572,13.676,0.81,0.667
2_01B,b,8.744,15.577,0.82,0.668
2_01B,c,6.768,11.803,0.8,0.7
2_01B,d,6.197,10.976,0.81,0.68
2_01B,e,8.488,15.338,0.81,0.667
2_01B,f,8.42,14.933,0.8,0.688
2_01C,a,6.019,11.384,0.83,0.622
2_01C,b,6.873,14.429,0.81,0.574
2_01C,c,8.626,15.828,0.8,0.665
2_01C,d,6.352,12.856,0.8,0.603
2_01C,e,8.044,16.109,0.81,0.602
2_01C,f,3.091,12.303,0.48,0.511
2_01D,a,3.841,13.888,0.57,0.474
2_01D,b,8.043,16.609,0.82,0.576
2_01D,c,6.437,13.271,0.8,0.592
2_01D,d,6.468,11.852,0.82,0.65
2_01D,e,8.003,16.319,0.81,0.591
2_01D,f,7.378,15.515,0.8,0.58
2_02A,a,11.702,21.972,0.83,0.626
2_02A,b,12.551,22.746,0.82,0.657
2_02A,c,13.074,22.978,0.82,0.677
2_02A,d,4.512,21.384,0.43,0.479
2_02A,e,6.37,21.938,0.52,0.545
2_02A,f,7.501,21.529,0.56,0.607
2_03A,a,10.013,20.986,0.81,0.575
2_03A,b,9.979,20.355,0.81,0.591
2_03A,c,10.475,20.246,0.81,0.623
2_03A,d,10.049,21.42,0.82,0.558
2_03A,e,10.313,21.561,0.81,0.576
2_03A,f,10.808,21.63,0.81,0.602
2_04A,a,10.548,22.391,0.82,0.561
2_04A,b,11.15,22.61,0.82,0.587
2_04A,c,11.462,22.571,0.82,0.604
2_04A,d,9.892,21.878,0.81,0.545
2_04A,e,10.571,22.352,0.81,0.57
2_04A,f,11.38,22.679,0.81,0.605
2_05A,a,9.609,17.203,0.83,0.657
2_05A,b,10.139,17.925,0.82,0.673
2_05A,c,10.546,18.092,0.82,0.694
2_05A,d,3.237,16.943,0.43,0.434
2_05A,e,4.869,16.866,0.49,0.575
2_05A,f,5.879,17.467,0.59,0.557
