name,channel,pce,jsc,voc,ff
0F_A,a,6.604,-9.861,1.0,0.659
0F_A,b,6.345,-9.626,0.99,0.655
0F_A,c,6.415,-9.689,0.99,0.658
0F_A,d,6.523,-10.094,0.99,0.642
0F_A,e,6.644,-10.295,0.99,0.641
0F_A,f,2.632,-10.426,0.72,0.345
0F_B,a,6.43,-9.754,1.0,0.649
0F_B,b,5.936,-9.274,0.99,0.636
0F_B,c,5.843,-9.299,0.99,0.625
0F_B,d,5.734,-9.396,0.99,0.607
0F_B,e,5.549,-9.41,0.99,0.586
0F_B,f,5.977,-9.438,0.99,0.629
1F_A,a,8.105,-14.612,0.96,0.569
1F_A,b,8.056,-14.567,0.94,0.579
1F_A,c,8.372,-14.863,0.94,0.59
1F_A,d,8.527,-15.767,0.93,0.572
1F_A,e,8.618,-15.686,0.94,0.575
1F_A,f,8.743,-15.61,0.93,0.593
1F_B,a,8.253,-13.939,0.97,0.601
1F_B,b,8.251,-14.032,0.96,0.603
1F_B,c,8.441,-14.174,0.96,0.61
1F_B,d,0.0,-0.016,0.07,0.273
1F_B,e,0.093,-4.889,0.3,0.062
1F_B,f,9.057,-15.251,0.96,0.609
2F_A,a,6.049,-12.005,0.92,0.539
2F_A,b,6.142,-12.054,0.91,0.551
2F_A,c,6.214,-11.976,0.91,0.561
2F_A,d,6.2,-12.564,0.9,0.54
2F_A,e,6.21,-12.662,0.9,0.536
2F_A,f,6.411,-12.491,0.9,0.561
2F_B,a,4.759,-12.257,0.86,0.444
2F_B,b,6.45,-12.295,0.91,0.567
2F_B,c,4.938,-11.963,0.88,0.461
2F_B,d,6.511,-12.757,0.91,0.552
2F_B,e,6.404,-12.432,0.91,0.557
2F_B,f,1.079,-11.811,0.31,0.29
