name,channel,pce,jsc,voc,ff
2_27A,a,6.251,18.477,0.73,0.456
2_27A,b,10.373,19.507,0.84,0.623
2_27A,c,10.522,19.478,0.84,0.633
2_27A,d,9.744,19.633,0.84,0.581
2_27A,e,0.046,0.111,0.908,0.445
2_27A,f,10.632,19.816,0.84,0.629
2_28A,a,7.711,20.289,0.79,0.473
2_28A,b,7.329,18.562,0.78,0.498
2_28A,c,7.601,18.909,0.78,0.507
2_28A,d,3.329,16.242,0.54,0.374
2_28A,e,5.271,17.835,0.65,0.447
2_28A,f,7.79,19.59,0.78,0.502
2_29A,a,8.122,19.745,0.79,0.512
2_29A,b,8.514,19.751,0.78,0.544
2_29A,c,9.007,20.08,0.78,0.566
2_29A,d,3.823,19.218,0.48,0.408
2_29A,e,7.545,21.007,0.67,0.528
2_29A,f,4.329,20.195,0.46,0.459
2_30A,a,7.584,20.696,0.79,0.456
2_30A,b,10.675,21.127,0.83,0.599
2_30A,c,11.462,21.656,0.83,0.628
2_30A,d,10.321,20.755,0.83,0.59
2_30A,e,10.613,21.066,0.83,0.597
2_30A,f,3.851,20.446,0.41,0.452
2_31A,a,6.61,11.768,0.83,0.666
2_31A,b,7.428,13.504,0.82,0.66
2_31A,c,0.019,0.005,0.45,8.383
2_31A,d,8.127,14.719,0.82,0.663
2_31A,e,8.032,14.766,0.82,0.653
2_31A,f,8.756,15.102,0.82,0.696
2_32A,a,8.408,17.927,0.78,0.592
2_32A,b,9.477,19.904,0.78,0.601
2_32A,c,9.689,20.091,0.79,0.601
2_32A,d,10.235,22.483,0.78,0.574
2_32A,e,10.447,21.921,0.78,0.601
2_32A,f,10.254,21.25,0.78,0.609
SHW_110,a,7.543,19.266,0.75,0.514
SHW_110,b,8.185,19.374,0.8,0.52
SHW_110,c,8.818,19.191,0.81,0.558
SHW_110,d,3.139,18.925,0.5,0.327
SHW_110,e,3.308,19.583,0.47,0.354
SHW_110,f,8.81,20.306,0.79,0.54
SHW_80,a,8.353,18.455,0.81,0.55
SHW_80,b,8.457,17.925,0.83,0.559
SHW_80,c,8.896,18.016,0.84,0.578
SHW_80,d,8.722,19.151,0.83,0.54
SHW_80,e,9.171,19.483,0.83,0.558
SHW_80,f,2.562,17.12,0.42,0.351
