name,channel,pce,jsc,voc,ff
1_14A,A,0.116,0.971,0.92,0.13
1_14A,B,0.108,0.917,0.9,0.131
1_14A,C,0.0,0.0,0.866,0.857
1_14A,D,0.088,0.768,0.82,0.14
1_14A,E,0.096,0.824,0.8,0.145
1_14A,F,0.107,0.926,0.88,0.131
1_15A,A,8.058,24.344,0.68,0.487
1_15A,B,12.779,24.112,0.856,0.619
1_15A,C,13.294,23.932,0.84,0.661
1_15A,D,11.907,23.621,0.84,0.6
1_15A,E,12.116,23.35,0.84,0.618
1_15A,F,12.48,22.941,0.84,0.648
1_16A,A,6.498,13.664,0.82,0.58
1_16A,B,8.017,16.39,0.82,0.597
1_16A,C,0.001,0.001,0.805,0.736
1_16A,D,8.336,17.065,0.81,0.603
1_16A,E,8.534,17.126,0.81,0.615
1_16A,F,8.923,17.118,0.8,0.652
1_17A,A,11.229,23.581,0.82,0.581
1_17A,B,12.212,23.473,0.82,0.634
1_17A,C,0.0,0.0,0.815,0.784
1_17A,D,9.81,21.598,0.81,0.561
1_17A,E,11.237,22.199,0.82,0.617
1_17A,F,11.328,21.888,0.82,0.631
1_18A,A,9.231,21.755,0.84,0.505
1_18A,B,0.073,0.166,0.845,0.519
1_18A,C,0.0,0.0,0.856,0.817
1_18A,D,0.001,0.002,0.84,0.334
1_18A,E,0.0,0.0,0.82,0.481
1_18A,F,14.206,22.576,0.85,0.74
1_19A,A,13.199,26.566,0.85,0.584
1_19A,B,14.009,25.694,0.85,0.641
1_19A,C,15.239,26.052,0.85,0.688
1_19A,D,10.876,22.779,0.84,0.568
1_19A,E,12.463,23.438,0.84,0.633
1_19A,F,13.942,24.333,0.84,0.682
1_20A,A,0.066,0.527,0.5,0.251
1_20A,B,0.233,1.389,0.84,0.2
1_20A,C,0.226,1.386,0.84,0.194
1_20A,D,0.205,1.232,0.84,0.198
1_20A,E,0.208,1.28,0.83,0.195
1_20A,F,0.233,1.384,0.83,0.203
1_21A,A,8.284,16.204,0.81,0.631
1_21A,B,9.736,17.257,0.82,0.688
1_21A,C,10.115,17.483,0.82,0.706
1_21A,D,4.022,16.334,0.49,0.503
1_21A,E,6.901,17.396,0.64,0.62
1_21A,F,4.438,17.917,0.46,0.539
