name,trial,channel,pce,jsc,voc,ff
4Repeat,c,c,11.043,23.147,0.76,0.607
4Repeat,c,d,9.305,22.484,0.74,0.541
4Repeat,c,e,10.059,21.778,0.76,0.588
4Repeat,c,f,10.725,21.686,0.76,0.629
4Repeat,d,a,9.018,22.503,0.76,0.51
4Repeat,d,b,10.14,22.213,0.76,0.581
4Repeat,d,c,10.421,21.368,0.75,0.629
4Repeat,d,d,0.143,7.412,0.08,0.232
4Repeat,d,e,10.287,25.198,0.75,0.526
4Repeat,d,f,11.798,25.588,0.75,0.595
