name,trial,channel,pce,jsc,voc,ff
6,b,a,9.506,21.696,0.75,0.565
6,b,b,9.751,22.016,0.74,0.579
6,b,d,9.206,21.722,0.74,0.554
6,b,e,9.341,22.188,0.73,0.558
6,b,f,10.874,22.254,0.74,0.639
6,c,a,9.788,22.292,0.77,0.552
6,c,b,9.815,21.701,0.76,0.576
6,c,c,11.58,22.058,0.77,0.659
6,c,d,1.946,3.314,0.76,0.747
6,c,e,0.996,3.535,0.33,0.825
6,c,f,3.061,4.937,0.76,0.789
6,d,a,9.469,21.231,0.78,0.553
6,d,b,10.13,21.657,0.77,0.588
6,d,c,11.31,21.338,0.77,0.666
6,d,d,9.796,21.854,0.77,0.563
6,d,e,10.316,21.495,0.77,0.603
6,d,f,8.874,20.518,0.75,0.558
7,a,a,9.53,21.612,0.77,0.554
7,a,b,10.544,21.734,0.77,0.609
7,a,c,11.422,21.745,0.77,0.66
7,a,d,9.082,21.024,0.76,0.55
7,a,e,9.988,21.294,0.77,0.589
7,a,f,10.173,21.188,0.76,0.611
7,b,a,8.989,20.72,0.77,0.545
7,b,b,10.207,21.88,0.78,0.578
7,b,c,10.607,21.899,0.77,0.608
7,b,d,10.039,22.564,0.77,0.559
7,b,e,10.598,22.184,0.77,0.6
7,b,f,10.873,21.421,0.77,0.638
7,c,a,9.55,25.188,0.75,0.489
7,c,b,9.503,24.683,0.76,0.49
7,c,c,12.253,23.753,0.77,0.648
7,c,d,8.277,20.297,0.77,0.512
7,c,e,8.462,20.615,0.74,0.537
7,c,f,10.153,20.633,0.77,0.618
7,d,a,8.303,22.718,0.75,0.471
7,d,b,10.549,23.975,0.77,0.553
7,d,c,6.74,22.963,0.7,0.406
7,d,d,9.293,21.577,0.76,0.548
7,d,e,3.638,20.78,0.51,0.332
7,d,f,1.352,7.047,0.26,0.714
8,a,a,10.634,22.277,0.81,0.57
8,a,b,12.049,22.931,0.8,0.635
8,a,c,13.082,23.147,0.8,0.683
8,a,d,2.378,4.12,0.8,0.698
8,a,e,2.235,3.731,0.8,0.724
8,a,f,1.736,3.25,0.81,0.638
8,b,a,10.598,23.203,0.77,0.574
8,b,b,11.066,22.377,0.76,0.629
8,b,c,5.745,22.129,0.66,0.38
8,b,d,1.771,3.35,0.76,0.673
8,b,e,0.396,1.021,0.53,0.709
8,b,f,0,1.223,0.07,0
8,c,a,10.917,24.125,0.77,0.568
8,c,b,12.241,24.573,0.79,0.61
