1.00998E+0	2.88810E-2	1.78278E+2	-1.81876E+2
9.99983E-1	2.90593E-2	1.79378E+2	-1.81187E+2
9.89983E-1	2.87347E-2	1.77375E+2	-1.77372E+2
9.79980E-1	2.84107E-2	1.75375E+2	-1.73600E+2
9.69984E-1	2.80835E-2	1.73355E+2	-1.69850E+2
9.59980E-1	2.77568E-2	1.71338E+2	-1.66143E+2
9.49978E-1	2.74310E-2	1.69327E+2	-1.62482E+2
9.39977E-1	2.71057E-2	1.67319E+2	-1.58865E+2
9.29973E-1	2.67771E-2	1.65291E+2	-1.55269E+2
9.19976E-1	2.64516E-2	1.63281E+2	-1.51732E+2
9.09976E-1	2.61243E-2	1.61261E+2	-1.48226E+2
8.99976E-1	2.57994E-2	1.59256E+2	-1.44774E+2
8.89977E-1	2.54725E-2	1.57238E+2	-1.41351E+2
8.79981E-1	2.51471E-2	1.55229E+2	-1.37978E+2
8.69947E-1	2.48222E-2	1.53223E+2	-1.34643E+2
8.59947E-1	2.44980E-2	1.51222E+2	-1.31357E+2
8.49948E-1	2.41741E-2	1.49223E+2	-1.28113E+2
8.39945E-1	2.38501E-2	1.47223E+2	-1.24908E+2
8.29947E-1	2.35254E-2	1.45219E+2	-1.21741E+2
8.19942E-1	2.32035E-2	1.43231E+2	-1.18628E+2
8.09947E-1	2.28831E-2	1.41254E+2	-1.15564E+2
7.99946E-1	2.25614E-2	1.39268E+2	-1.12532E+2
7.89947E-1	2.22415E-2	1.37293E+2	-1.09550E+2
7.79937E-1	2.19207E-2	1.35313E+2	-1.06602E+2
7.69938E-1	2.16026E-2	1.33349E+2	-1.03708E+2
7.59938E-1	2.12833E-2	1.31378E+2	-1.00848E+2
7.49939E-1	2.09642E-2	1.29409E+2	-9.80289E+1
7.39933E-1	2.06471E-2	1.27451E+2	-9.52580E+1
7.29934E-1	2.03294E-2	1.25490E+2	-9.25248E+1
7.19936E-1	2.00142E-2	1.23544E+2	-8.98425E+1
7.09937E-1	1.96995E-2	1.21602E+2	-8.72017E+1
6.99936E-1	1.93843E-2	1.19656E+2	-8.45976E+1
6.89938E-1	1.90706E-2	1.17720E+2	-8.20397E+1
6.79938E-1	1.87576E-2	1.15788E+2	-7.95237E+1
6.69934E-1	1.84456E-2	1.13862E+2	-7.70503E+1
6.59935E-1	1.81326E-2	1.11930E+2	-7.46124E+1
6.49934E-1	1.78219E-2	1.10012E+2	-7.22226E+1
6.39935E-1	1.75115E-2	1.08096E+2	-6.98729E+1
6.29930E-1	1.72023E-2	1.06187E+2	-6.75661E+1
6.19928E-1	1.68935E-2	1.04281E+2	-6.52996E+1
6.09930E-1	1.65854E-2	1.02379E+2	-6.30748E+1
5.99929E-1	1.62786E-2	1.00485E+2	-6.08929E+1
5.89933E-1	1.59728E-2	9.85975E+1	-5.87535E+1
5.79931E-1	1.56687E-2	9.67204E+1	-5.66577E+1
5.69936E-1	1.53648E-2	9.48444E+1	-5.46013E+1
5.59936E-1	1.50610E-2	9.29691E+1	-5.25826E+1
5.49937E-1	1.47598E-2	9.11099E+1	-5.06108E+1
5.39937E-1	1.44591E-2	8.92537E+1	-4.86782E+1
5.29937E-1	1.41587E-2	8.73994E+1	-4.67840E+1
5.19932E-1	1.38592E-2	8.55506E+1	-4.49298E+1
5.09935E-1	1.35613E-2	8.37117E+1	-4.31187E+1
4.99936E-1	1.32634E-2	8.18728E+1	-4.13446E+1
4.89928E-1	1.29673E-2	8.00451E+1	-3.96124E+1
4.79928E-1	1.26732E-2	7.82296E+1	-3.79238E+1
4.69928E-1	1.23804E-2	7.64222E+1	-3.62757E+1
4.59930E-1	1.20885E-2	7.46204E+1	-3.46668E+1
4.49927E-1	1.17965E-2	7.28179E+1	-3.30937E+1
4.39928E-1	1.15069E-2	7.10302E+1	-3.15638E+1
4.29929E-1	1.12176E-2	6.92444E+1	-3.00709E+1
4.19930E-1	1.09298E-2	6.74679E+1	-2.86180E+1
4.09938E-1	1.06439E-2	6.57031E+1	-2.72063E+1
3.99932E-1	1.03586E-2	6.39420E+1	-2.58307E+1
3.89933E-1	1.00744E-2	6.21877E+1	-2.44940E+1
3.79925E-1	9.79215E-3	6.04454E+1	-2.31967E+1
3.69930E-1	9.51022E-3	5.87051E+1	-2.19361E+1
3.59932E-1	9.23106E-3	5.69819E+1	-2.07168E+1
3.49932E-1	8.95319E-3	5.52666E+1	-1.95349E+1
3.39927E-1	8.67630E-3	5.35574E+1	-1.83895E+1
3.29929E-1	8.40195E-3	5.18639E+1	-1.72842E+1
3.19929E-1	8.12722E-3	5.01680E+1	-1.62123E+1
3.09926E-1	7.85544E-3	4.84904E+1	-1.51802E+1
2.99925E-1	7.58436E-3	4.68170E+1	-1.41834E+1
2.89926E-1	7.31507E-3	4.51548E+1	-1.32238E+1
2.79930E-1	7.04796E-3	4.35059E+1	-1.23016E+1
2.69928E-1	6.78160E-3	4.18617E+1	-1.14138E+1
2.59929E-1	6.51707E-3	4.02288E+1	-1.05623E+1
2.49930E-1	6.25511E-3	3.86118E+1	-9.74772E+0
2.39933E-1	5.99354E-3	3.69972E+1	-8.96650E+0
2.29930E-1	5.73497E-3	3.54010E+1	-8.22198E+0
2.19929E-1	5.47744E-3	3.38114E+1	-7.51121E+0
2.09926E-1	5.22200E-3	3.22346E+1	-6.83523E+0
1.99919E-1	4.96817E-3	3.06677E+1	-6.19299E+0
1.89920E-1	4.71572E-3	2.91094E+1	-5.58430E+0
1.79920E-1	4.46575E-3	2.75664E+1	-5.00984E+0
