1.00998E+0	3.50424E-6	2.16311E-2	-2.20677E-2
9.99980E-1	3.66666E-6	2.26337E-2	-2.28619E-2
9.89981E-1	3.80870E-6	2.35105E-2	-2.35100E-2
9.79985E-1	3.93127E-6	2.42671E-2	-2.40216E-2
9.69984E-1	4.03672E-6	2.49180E-2	-2.44142E-2
9.59981E-1	4.13352E-6	2.55156E-2	-2.47419E-2
9.49982E-1	4.21796E-6	2.60368E-2	-2.49843E-2
9.39985E-1	4.29069E-6	2.64857E-2	-2.51477E-2
9.29975E-1	4.35522E-6	2.68841E-2	-2.52541E-2
9.19977E-1	4.40371E-6	2.71834E-2	-2.52607E-2
9.09979E-1	4.45152E-6	2.74785E-2	-2.52574E-2
8.99980E-1	4.49363E-6	2.77385E-2	-2.52162E-2
8.89977E-1	4.53391E-6	2.79871E-2	-2.51595E-2
8.79976E-1	4.57049E-6	2.82129E-2	-2.50775E-2
8.69942E-1	4.59544E-6	2.83669E-2	-2.49268E-2
8.59945E-1	4.60672E-6	2.84365E-2	-2.47009E-2
8.49941E-1	4.62149E-6	2.85277E-2	-2.44918E-2
8.39943E-1	4.63831E-6	2.86315E-2	-2.42918E-2
8.29942E-1	4.63536E-6	2.86133E-2	-2.39873E-2
8.19937E-1	4.62800E-6	2.85679E-2	-2.36605E-2
8.09941E-1	4.61730E-6	2.85019E-2	-2.33180E-2
7.99938E-1	4.60276E-6	2.84121E-2	-2.29575E-2
7.89941E-1	4.58199E-6	2.82839E-2	-2.25683E-2
7.79931E-1	4.55724E-6	2.81311E-2	-2.21619E-2
7.69932E-1	4.53203E-6	2.79755E-2	-2.17568E-2
7.59932E-1	4.50319E-6	2.77975E-2	-2.13376E-2
7.49929E-1	4.46961E-6	2.75902E-2	-2.08997E-2
7.39927E-1	4.43219E-6	2.73592E-2	-2.04483E-2
7.29930E-1	4.39370E-6	2.71216E-2	-1.99968E-2
7.19931E-1	4.35493E-6	2.68823E-2	-1.95489E-2
7.09933E-1	4.31327E-6	2.66251E-2	-1.90930E-2
6.99933E-1	4.26953E-6	2.63551E-2	-1.86332E-2
6.89932E-1	4.22497E-6	2.60801E-2	-1.81752E-2
6.79933E-1	4.18093E-6	2.58082E-2	-1.77251E-2
6.69928E-1	4.13187E-6	2.55054E-2	-1.72594E-2
6.59930E-1	4.08389E-6	2.52092E-2	-1.68043E-2
6.49933E-1	4.03395E-6	2.49009E-2	-1.63474E-2
6.39935E-1	3.98245E-6	2.45830E-2	-1.58904E-2
6.29930E-1	3.93008E-6	2.42598E-2	-1.54363E-2
6.19930E-1	3.87565E-6	2.39238E-2	-1.49809E-2
6.09931E-1	3.82129E-6	2.35882E-2	-1.45325E-2
5.99930E-1	3.76375E-6	2.32330E-2	-1.40790E-2
5.89933E-1	3.71153E-6	2.29107E-2	-1.36523E-2
5.79932E-1	3.65165E-6	2.25410E-2	-1.32043E-2
5.69932E-1	3.59469E-6	2.21894E-2	-1.27742E-2
5.59933E-1	3.53602E-6	2.18273E-2	-1.23453E-2
5.49935E-1	3.47819E-6	2.14703E-2	-1.19265E-2
5.39935E-1	3.41876E-6	2.11035E-2	-1.15096E-2
5.29936E-1	3.36236E-6	2.07553E-2	-1.11101E-2
5.19931E-1	3.30219E-6	2.03839E-2	-1.07053E-2
5.09932E-1	3.24373E-6	2.00230E-2	-1.03135E-2
