x0000,y0000
0.2074788723,2097.240327,
0.2092948933,2070.792558,
0.2111109144,1809.719367,
0.2129269354,2270.74535,
0.2147429564,2353.632303,
0.2165589775,2188.940257,
0.2183749985,2354.512649,
0.2201910195,2655.858696,
0.2220070406,2801.266797,
0.2238230616,2195.080946,
0.2256390826,2861.67488,
0.2274551037,3178.227679,
0.2292711247,3343.782738,
0.2310871458,2612.115699,
0.2329031668,3594.847147,
0.2347191878,3643.895041,
0.2365352089,3417.520952,
0.2383512299,3089.09747,
0.2401672509,3797.413043,
0.241983272,3946.652853,
0.243799293,4073.180027,
0.245615314,3712.242543,
0.2474313351,4352.304375,
0.2492473561,4553.098307,
0.2510633772,4582.693824,
0.2528793982,4401.775625,
0.2546954192,5062.666875,
0.2565114403,5202.857677,
0.2583274613,4477.831861,
0.2601434823,5460.2475,
0.2619595034,5515.304688,
0.2637755244,5639.835,
0.2655915454,4980.564538,
0.2674075665,5817.472801,
0.2692235875,5844.75,
0.2710396086,5968.576172,
0.2728556296,5183.306713,
0.2746716506,6039.736779,
0.2764876717,5991.212139,
0.2783036927,5872.407986,
0.2801197137,5083.920313,
0.2819357348,5907.180556,
0.2837517558,5666.193229,
0.2855677768,5638.096875,
0.2873837979,4931.902199,
0.2891998189,5405.78125,
0.29101584,5250.188039,
0.292831861,5181.73738,
0.294647882,4526.079203,
0.2964639031,4548.431034,
0.2982799241,4451.552584,
0.3000959451,4139.025174,
0.3019119662,4203.83151,
0.3037279872,4059.334821,
0.3055440082,3899.276563,
0.3073600293,3680.885517,
0.3091760503,3744.191667,
0.3109920714,3602.235887,
0.3128080924,3484.699084,
0.3146241134,3274.831597,
0.3164401345,3326.129735,
0.3182561555,3249.022091,
0.3200721765,3147.083594,
0.3218881976,2981.753024,
0.3237042186,3009.441927,
0.3255202396,2916.077637,
0.3273362607,2818.503276,
0.3291522817,2693.862069,
0.3309683028,2742.762074,
0.3327843238,2654.722301,
0.3346003448,2599.974479,
0.3364163659,2514.18498,
0.3382323869,2528.237847,
0.3400484079,2497.444052,
0.341864429,2361.396821,
0.34368045,2444.018012,
0.345496471,2440.167969,
0.3473124921,2404.482666,
0.3491285131,2280.081342,
0.3509445342,2359.818474,
0.3527605552,2381.211426,
0.3545765762,2270.490848,
0.3563925973,2271.319092,
0.3582086183,2328.097301,
0.3600246393,2338.785473,
0.3618406604,2383.48584,
0.3636566814,2442.537946,
0.3654727024,2530.915179,
0.3672887235,2607.19375,
0.3691047445,2705.544103,
0.3709207656,2866.528083,
0.3727367866,3085.760634,
0.3745528076,3291.041667,
0.3763688287,3477.872633,
0.3781848497,3699.844184,
0.3800008707,3910.714638,
0.3818168918,4067.866753,
0.3836329128,4207.045928,
0.3854489338,4378.765625,
0.3872649549,4545.263091,
0.3890809759,4730.877604,
0.3908969969,4769.375434,
0.392713018,5155.338542,
0.394529039,5620.807292,
0.3963450601,5871.11899,
0.3981610811,6380.824324,
0.3999771021,6914.365885,
0.4017931232,7417.485863,
0.4036091442,8267.094551,
0.4054251652,9222.327703,
0.4072411863,10547.20395,
0.4090572073,11868.64863,
0.4108732283,12883.15287,
0.4126892494,13852.3734,
0.4145052704,15495.6936,
0.4163212915,16851.59375,
0.4181373125,17212.24836,
0.4199533335,18956.83036,
0.4217693546,19579.97756,
0.4235853756,19277.23281,
0.4254013966,18757.79487,
0.4272174177,19330.60061,
0.4290334387,18353.30335,
0.4308494597,17302.38906,
0.4326654808,16542.51603,
0.4344815018,15650.05027,
0.4362975229,14686.62188,
0.4381135439,13239.16506,
0.4399295649,11721.54836,
0.441745586,10448.04142,
0.443561607,8470.300872,
0.445377628,6793.401786,
0.4471936491,5545.728906,
0.4490096701,4910.770952,
0.4508256911,4017.751042,
0.4526417122,3380.72904,
0.4544577332,3028.549733,
0.4562737543,2626.618684,
0.4580897753,2304.725291,
0.4599057963,2064.195312,
0.4617218174,1954.252493,
0.4635378384,1781.25142,
0.4653538594,1646.329942,
0.4671698805,1496.157609,
0.4689859015,1410.674913,
0.4708019225,1302.852362,
0.4726179436,1208.697096,
0.4744339646,1160.388849,
0.4762499857,1109.197266,
0.4780660067,1046.131138,
0.4798820277,1002.816034,
0.4816980488,964.3617527,
0.4835140698,913.7539062,
0.4853300908,879.4160572,
0.4871461119,854.3366044,
0.4889621329,831.7239318,
0.4907781539,802.5288398,
0.492594175,775.6904514,
0.494410196,754.3231997,
0.4962262171,729.6621908,
0.4980422381,719.4036735,
0.4998582591,703.7573342,
0.5016742802,684.4750182,
0.5034903012,676.5275829,
0.5053063222,667.3222273,
0.5071223433,653.0329484,
0.5089383643,636.1919759,
0.5107543853,627.6423483,
0.5125704064,621.434508,
0.5143864274,607.4625843,
0.5162024485,605.2815348,
0.5180184695,595.9846191,
0.5198344905,587.1060432,
0.5216505116,582.6670496,
0.5234665326,576.5310059,
0.5252825536,575.9881664,
0.5270985747,571.896604,
0.5289145957,566.2150032,
0.5307306167,564.5143359,
0.5325466378,570.426232,
0.5343626588,556.62736,
0.5361786799,556.1396676,
0.5379947009,547.7946965,
0.5398107219,554.2068781,
0.541626743,550.5749609,
0.543442764,553.0558434,
0.545258785,550.2985333,
0.5470748061,553.8165128,
0.5488908271,549.8272656,
0.5507068481,549.6838329,
0.5525228692,550.8268466,
0.5543388902,556.6000796,
0.5561549113,563.351124,
0.5579709323,555.8300781,
0.5597869533,560.9306641,
0.5616029744,562.2594039,
0.5634189954,577.5835053,
0.5652350164,579.8592218,
0.5670510375,575.0866122,
0.5688670585,593.6927083,
0.5706830795,594.8068704,
0.5724991006,609.2881944,
0.5743151216,620.1055385,
0.5761311427,621.5532227,
0.5779471637,637.6560937,
0.5797631847,638.4872219,
0.5815792058,642.8440341,
0.5833952268,648.8836232,
0.5852112478,659.0733119,
0.5870272689,652.2413411,
0.5888432899,637.908977,
0.5906593109,657.7833807,
0.592475332,640.9374315,
0.594291353,627.7295619,
0.5961073741,635.8442982,
0.5979233951,623.3283381,
0.5997394161,611.6606534,
0.6015554372,606.7953381,
0.6033714582,595.4932173,
0.6051874792,572.8024812,
0.6070035003,570.2636388,
0.6088195213,547.3308726,
0.6106355423,527.258395,
0.6124515634,522.1374163,
0.6142675844,499.8295485,
0.6160836055,486.3096531,
0.6178996265,477.771683,
0.6197156475,473.8592006,
0.6215316686,473.4127052,
0.6233476896,472.1059728,
0.6251637106,459.362801,
0.6269797317,456.9939662,
0.6287957527,454.8493889,
0.6306117737,447.3866547,
0.6324277948,449.0827384,
0.6342438158,447.0023311,
0.6360598369,449.6447266,
0.6378758579,444.795286,
0.6396918789,443.9689705,
0.6415079,442.2816342,
0.643323921,442.3584465,
0.645139942,443.7512091,
0.6469559631,438.1315447,
0.6487719841,440.6254272,
0.6505880051,441.0996404,
0.6524040262,442.8968154,
0.6542200472,447.6798861,
0.6560360683,439.2332632,
0.6578520893,445.4642857,
0.6596681103,440.508677,
0.6614841314,442.9237641,
0.6633001524,445.8363882,
0.6651161734,441.6409607,
0.6669321945,440.5845337,
0.6687482155,440.8735677,
0.6705642365,443.073183,
0.6723802576,449.6198986,
0.6741962786,448.8310547,
0.6760122997,445.4075421,
0.6778283207,451.632142,
0.6796443417,448.652696,
0.6814603628,448.1116196,
0.6832763838,452.7870784,
0.6850924048,450.3974304,
0.6869084259,446.2980883,
0.6887244469,454.344381,
0.6905404679,455.9895433,
0.692356489,454.0420651,
0.69417251,454.3427143,
0.6959885311,457.0942855,
0.6978045521,458.9639214,
0.6996205731,462.3948568,
0.7014365942,460.1967548,
0.7032526152,454.3588127,
0.7050686362,462.7193359,
0.7068846573,465.2694129,
0.7087006783,465.5368134,
0.7105166993,468.4057544,
0.7123327204,472.5531939,
0.7141487414,474.629161,
0.7159647625,472.6769231,
0.7177807835,479.1406851,
0.7195968045,485.49497,
0.7214128256,489.3078358,
0.7232288466,490.9811298,
0.7250448676,494.5147321,
0.7268608887,504.6188293,
0.7286769097,517.0282629,
0.7304929307,523.4353487,
0.7323089518,547.5290421,
0.7341249728,555.8568274,
0.7359409939,569.3092359,
0.7377570149,588.3543199,
0.7395730359,616.4422433,
0.741389057,639.9979666,
0.743205078,662.0154018,
0.745021099,693.1251749,
0.7468371201,713.5136986,
0.7486531411,751.4613121,
0.7504691621,773.5835471,
0.7522851832,792.5688345,
0.7541012042,821.2277561,
0.7559172253,842.8609155,
0.7577332463,849.5794813,
0.7595492673,873.2413848,
0.7613652884,891.125055,
0.7631813094,885.6024599,
0.7649973304,887.6949219,
0.7668133515,892.4772227,
0.7686293725,873.1569792,
0.7704453935,880.4584961,
0.7722614146,874.8231585,
0.7740774356,866.4654018,
0.7758934566,841.0478252,
0.7777094777,847.8091744,
0.7795254987,835.5159598,
0.7813415198,836.3727679,
0.7831575408,820.3790668,
0.7849735618,813.0310417,
0.7867895829,798.8930664,
0.7886056039,792.81458,
0.7904216249,780.812243,
0.792237646,773.0297192,
0.794053667,757.040493,
0.795869688,751.0953897,
0.7976857091,748.9913313,
0.7995017301,739.1148838,
0.8013177512,729.7080342,
0.8031337722,724.8616071,
0.8049497932,723.9537338,
0.8067658143,721.9066146,
0.8085818353,733.0797396,
0.8103978563,742.7570708,
0.8122138774,754.9971084,
0.8140298984,764.6642708,
0.8158459194,789.1704102,
0.8176619405,820.780805,
0.8194779615,838.4302885,
0.8212939826,854.8035417,
0.8231100036,886.546875,
0.8249260246,913.7129153,
0.8267420457,930.4346217,
0.8285580667,940.9253362,
0.8303740877,962.6589543,
0.8321901088,983.3115355,
0.8340061298,982.2323458,
0.8358221508,998.2225041,
0.8376381719,1006.789251,
0.8394541929,1015.098242,
0.841270214,1023.236381,
0.843086235,1023.391378,
0.844902256,1027.022569,
0.8467182771,1024.463742,
0.8485342981,1025.805556,
0.8503503191,1019.923399,
0.8521663402,1020.649805,
0.8539823612,1006.245722,
0.8557983822,1004.120945,
0.8576144033,992.1870117,
0.8594304243,984.1492846,
0.8612464454,977.3598573,
0.8630624664,977.4519383,
0.8648784874,971.6005515,
0.8666945085,959.7073529,
0.8685105295,955.9590585,
0.8703265505,936.4743441,
0.8721425716,929.4960029,
0.8739585926,913.8210047,
0.8757746136,918.5696911,
0.8775906347,906.4347994,
0.8794066557,899.5013672,
0.8812226768,887.3893678,
0.8830386978,875.6235532,
0.8848547188,862.972561,
0.8866707399,849.2769886,
0.8884867609,830.9420181,
0.8903027819,824.7898247,
0.892118803,815.0361657,
0.893934824,788.2411521,
0.895750845,768.9418457,
0.8975668661,775.8749472,
0.8993828871,776.4509277,
0.9011989082,769.9628586,
0.9030149292,763.8850538,
0.9048309502,763.4619502,
0.9066469713,756.37875,
0.9084629923,755.533701,
0.9102790133,754.4476563,
0.9120950344,755.2797732,
0.9139110554,745.2423692,
0.9157270764,717.25625,
0.9175430975,692.3548177,
0.9193591185,674.4283608,
0.9211751396,679.8649554,
0.9229911606,681.504445,
0.9248071816,672.3083917,
0.9266232027,671.1072917,
0.9284392237,669.4415283,
0.9302552447,669.6369591,
0.9320712658,657.9323568,
0.9338872868,659.2211174,
0.9357033078,663.5439157,
0.9375193289,658.4399127,
0.9393353499,650.1233521,
0.941151371,646.4393682,
0.942967392,658.1807065,
0.944783413,657.4527229,
0.9465994341,648.934915,
0.9484154551,643.5485873,
0.9502314761,643.15274,
0.9520474972,646.6143266,
0.9538635182,645.4016285,
0.9556795392,653.1128646,
0.9574955603,646.779375,
0.9593115813,651.8074324,
0.9611276024,638.0471717,
0.9629436234,644.1584757,
0.9647596444,640.6468461,
0.9665756655,631.6598307,
0.9683916865,638.0507812,
0.9702077075,637.0865661,
0.9720237286,637.640919,
0.9738397496,644.2112886,
0.9756557706,635.6715278,
0.9774717917,636.1815399,
0.9792878127,641.5118905,
0.9811038338,633.4307177,
0.9829198548,637.6643118,
0.9847358758,637.8703125,
0.9865518969,633.6446144,
0.9883679179,635.9159083,
0.9901839389,630.3481908,
0.99199996,640.8767453,
0.993815981,639.8341656,
0.995632002,633.7432796,
0.9974480231,630.5524435,
0.9992640441,635.9851888,
1.001080065,630.6162007,
1.002896086,636.7936336,
