x0000,y0000
0.2107362818,438.9944255,
0.2125489735,445.6529018,
0.2143616652,441.9574707,
0.2161743569,408.289502,
0.2179870486,439.2173488,
0.2197997403,450.2912598,
0.221612432,439.3726223,
0.2234251236,409.7667969,
0.2252378153,435.2861328,
0.227050507,427.982337,
0.2288631987,425.8910156,
0.2306758904,417.3972834,
0.2324885821,423.3451563,
0.2343012738,433.4311035,
0.2361139655,404.1097301,
0.2379266572,421.7960938,
0.2397393489,418.8404948,
0.2415520406,427.5217951,
0.2433647323,405.8884943,
0.245177424,427.8076562,
0.2469901157,424.5101318,
0.2488028074,420.9841309,
0.2506154991,414.5682745,
0.2524281907,429.5214844,
0.2542408824,421.0112305,
0.2560535741,424.3986003,
0.2578662658,408.0169412,
0.2596789575,422.4059968,
0.2614916492,424.2940956,
0.2633043409,432.7218071,
0.2651170326,403.877568,
0.2669297243,425.7613807,
0.268742416,429.2082332,
0.2705551077,427.7755033,
0.2723677994,427.4460359,
0.2741804911,420.2229943,
0.2759931828,432.7515625,
0.2778058745,413.6109619,
0.2796185662,418.9582772,
0.2814312579,426.6419994,
0.2832439495,431.2001953,
0.2850566412,409.3394681,
0.2868693329,435.0231855,
0.2886820246,431.5425153,
0.2904947163,424.7737004,
0.292307408,428.1055698,
0.2941200997,437.2661458,
0.2959327914,438.6235352,
0.2977454831,444.6127232,
0.2995581748,427.0957705,
0.3013708665,433.0522629,
0.3031835582,433.952999,
0.3049962499,431.5960412,
0.3068089416,433.7095052,
0.3086216333,430.7689819,
0.310434325,439.8592122,
0.3122470166,431.4637169,
0.3140597083,455.6153232,
0.3158724,452.0083659,
0.3176850917,445.3229587,
0.3194977834,437.3642904,
0.3213104751,453.6169434,
0.3231231668,455.6885986,
0.3249358585,459.0715726,
0.3267485502,457.9246745,
0.3285612419,471.4100971,
0.3303739336,472.262133,
0.3321866253,472.2346802,
0.333999317,473.242156,
0.3358120087,483.0486607,
0.3376247004,489.9047704,
0.3394373921,482.6496745,
0.3412500837,478.3024554,
0.3430627754,497.4253791,
0.3448754671,511.2591858,
0.3466881588,504.4716797,
0.3485008505,513.0885045,
0.3503135422,524.9387429,
0.3521262339,532.5955946,
0.3539389256,524.5251465,
0.3557516173,542.5652574,
0.357564309,551.8922086,
0.3593770007,556.3572591,
0.3611896924,559.8902588,
0.3630023841,575.750601,
0.3648150758,587.1840533,
0.3666277675,601.4066964,
0.3684404592,611.5380345,
0.3702531509,638.3021537,
0.3720658425,655.9620536,
0.3738785342,686.5375434,
0.3756912259,692.0268159,
0.3775039176,705.291913,
0.3793166093,738.8301324,
0.381129301,767.2152344,
0.3829419927,800.6187808,
0.3847546844,846.1024639,
0.3865673761,890.6201714,
0.3883800678,923.6555804,
0.3901927595,975.3794071,
0.3920054512,1030.306348,
0.3938181429,1093.080078,
0.3956308346,1164.188661,
0.3974435263,1235.870215,
0.399256218,1301.842516,
0.4010689096,1375.696314,
