x0000,y0000
0.2063021483,2282.562263,
0.2081186711,2002.649384,
0.209935194,2170.33113,
0.2117517168,2159.67722,
0.2135682396,2063.776042,
0.2153847625,1852.677214,
0.2172012853,2036.005952,
0.2190178081,1942.775,
0.220834331,1887.597155,
0.2226508538,1725.763021,
0.2244673766,1888.672763,
0.2262838995,1873.279297,
0.2281004223,1746.532203,
0.2299169451,1686.199107,
0.231733468,1795.035792,
0.2335499908,1742.432776,
0.2353665136,1644.857422,
0.2371830365,1652.400977,
0.2389995593,1715.300781,
0.2408160821,1664.222656,
0.2426326049,1578.5001,
0.2444491278,1611.437318,
0.2462656506,1648.154861,
0.2480821734,1639.258013,
0.2498986963,1563.466211,
0.2517152191,1641.502887,
0.2535317419,1646.103338,
0.2553482648,1624.847834,
0.2571647876,1550.04707,
0.2589813104,1667.190048,
0.2607978333,1642.923371,
0.2626143561,1633.18641,
0.2644308789,1609.98252,
0.2662474018,1662.053125,
0.2680639246,1664.902018,
0.2698804474,1648.433239,
0.2716969703,1633.186773,
0.2735134931,1689.731824,
0.2753300159,1685.244742,
0.2771465388,1684.165838,
0.2789630616,1680.477412,
0.2807795844,1711.388071,
0.2825961073,1706.979114,
0.2844126301,1680.371528,
0.2862291529,1709.125478,
0.2880456758,1717.307445,
0.2898621986,1723.607462,
0.2916787214,1682.925327,
0.2934952443,1712.64304,
0.2953117671,1724.903699,
0.2971282899,1711.528906,
0.2989448127,1690.405419,
0.3007613356,1731.114583,
0.3025778584,1718.344687,
0.3043943812,1708.605469,
0.3062109041,1679.407878,
0.3080274269,1706.504972,
0.3098439497,1708.801002,
0.3116604726,1692.112344,
0.3134769954,1669.208487,
0.3152935182,1677.217242,
0.3171100411,1672.952273,
0.3189265639,1653.785907,
0.3207430867,1664.127855,
0.3225596096,1662.90294,
0.3243761324,1639.351997,
0.3261926552,1628.695763,
0.3280091781,1634.125579,
0.3298257009,1618.610722,
0.3316422237,1612.283523,
0.3334587466,1583.237187,
0.3352752694,1599.963983,
0.3370917922,1597.501096,
0.3389083151,1573.551705,
0.3407248379,1572.404948,
0.3425413607,1582.279557,
0.3443578836,1563.786595,
0.3461744064,1552.540296,
0.3479909292,1538.9375,
0.349807452,1546.98125,
0.3516239749,1523.445577,
0.3534404977,1510.521013,
0.3552570205,1496.178341,
0.3570735434,1502.939012,
0.3588900662,1508.190194,
0.360706589,1490.44778,
0.3625231119,1491.6594,
0.3643396347,1474.587674,
0.3661561575,1470.524232,
0.3679726804,1446.471065,
0.3697892032,1463.055048,
0.371605726,1451.56943,
0.3734222489,1442.385246,
0.3752387717,1425.854771,
0.3770552945,1436.518229,
0.3788718174,1408.378784,
0.3806883402,1410.260665,
0.382504863,1395.919956,
0.3843213859,1406.778872,
0.3861379087,1399.290505,
0.3879544315,1398.384829,
0.3897709544,1380.99752,
0.3915874772,1392.736178,
0.393404,1397.00012,
0.3952205229,1388.656994,
0.3970370457,1392.214423,
0.3988535685,1398.611269,
0.4006700914,1406.705529,
0.4024866142,1403.395752,
0.404303137,1418.669952,
0.4061196598,1442.570198,
0.4079361827,1454.104087,
0.4097527055,1452.312376,
0.4115692283,1500.811161,
0.4133857512,1523.011894,
0.415202274,1543.424006,
0.4170187968,1549.522271,
0.4188353197,1607.204335,
0.4206518425,1626.190372,
0.4224683653,1619.566581,
0.4242848882,1651.061908,
0.426101411,1671.857342,
0.4279179338,1682.471987,
0.4297344567,1688.841068,
0.4315509795,1700.811926,
0.4333675023,1696.912243,
0.4351840252,1719.988886,
0.437000548,1691.690814,
0.4388170708,1696.316081,
0.4406335937,1694.081764,
0.4424501165,1674.318034,
0.4442666393,1614.383862,
0.4460831622,1643.709852,
0.447899685,1617.50834,
0.4497162078,1577.35612,
0.4515327307,1556.507586,
0.4533492535,1557.287457,
0.4551657763,1525.255458,
0.4569822992,1488.728683,
0.458798822,1452.990475,
0.4606153448,1432.564123,
0.4624318676,1416.474362,
0.4642483905,1346.474935,
0.4660649133,1324.01877,
0.4678814361,1294.277708,
0.469697959,1250.333059,
0.4715144818,1202.808594,
0.4733310046,1157.580894,
0.4751475275,1116.96885,
0.4769640503,1086.20375,
0.4787805731,1027.252344,
0.480597096,1001.778778,
0.4824136188,963.1822917,
0.4842301416,932.7532728,
0.4860466645,898.1177226,
0.4878631873,896.7643555,
0.4896797101,873.7142857,
0.491496233,857.9891218,
0.4933127558,836.2997255,
0.4951292786,832.9484771,
0.4969458015,806.1947409,
0.4987623243,795.7533409,
0.5005788471,791.6657072,
0.50239537,784.5298549,
